date,geography,geography code,Rural Urban,Household Size: All categories: Household size; measures: Value,Household Size: 1 person in household; measures: Value,Household Size: 2 people in household; measures: Value,Household Size: 3 people in household; measures: Value,Household Size: 4 people in household; measures: Value,Household Size: 5 people in household; measures: Value,Household Size: 6 people in household; measures: Value,Household Size: 7 people in household; measures: Value,Household Size: 8 or more people in household; measures: Value
2011,Darlington,E06000005,Total,46670,15101,16657,7191,5352,1717,507,98,47
2011,County Durham,E06000047,Total,223803,70007,80984,36607,26074,7430,2118,404,179
2011,Hartlepool,E06000001,Total,40434,13392,13478,6629,4759,1526,469,107,74
2011,Middlesbrough,E06000002,Total,57203,17708,18554,9221,7220,2992,1084,239,185
2011,Northumberland,E06000057,Total,138534,41406,53502,20775,16422,4881,1232,226,90
2011,Redcar and Cleveland,E06000003,Total,59605,18735,21165,9738,7119,2132,557,117,42
2011,Stockton-on-Tees,E06000004,Total,79159,21986,27938,13583,10704,3700,925,203,120
2011,Gateshead,E08000037,Total,89154,29313,31486,14011,10277,2924,771,190,182
2011,Newcastle upon Tyne,E08000021,Total,117153,40337,36432,17610,13872,5344,2574,573,411
2011,North Tyneside,E08000022,Total,91295,30960,31879,14107,10722,2785,689,98,55
2011,South Tyneside,E08000023,Total,67167,23459,22431,10798,7492,2209,583,123,72
2011,Sunderland,E08000024,Total,119758,38096,40549,20372,14665,4294,1328,269,185
2011,Blackburn with Darwen,E06000008,Total,57353,17419,17082,8808,7307,3741,1957,595,444
2011,Blackpool,E06000009,Total,64367,24446,20833,9345,6399,2321,743,171,109
2011,Cheshire East,E06000049,Total,159441,47328,57990,25266,20969,5888,1589,276,135
2011,Cheshire West and Chester,E06000050,Total,141442,41841,51108,22381,18383,5617,1631,324,157
2011,Halton,E06000006,Total,53312,15833,17938,9272,7130,2289,663,128,59
2011,Warrington,E06000007,Total,85140,24534,29885,14347,11868,3388,893,142,83
2011,Allerdale,E07000026,Total,42345,13169,15710,6196,5199,1579,390,62,40
2011,Barrow-in-Furness,E07000027,Total,31224,10791,10657,4744,3611,1042,292,65,22
2011,Carlisle,E07000028,Total,48342,16423,17028,6939,5709,1654,449,97,43
2011,Copeland,E07000029,Total,30536,9308,11198,4640,3768,1236,305,61,20
2011,Eden,E07000030,Total,23043,6958,9028,3122,2806,861,208,36,24
2011,South Lakeland,E07000031,Total,46552,15091,18509,5964,5028,1496,370,68,26
2011,Bolton,E08000001,Total,116371,37091,37513,18430,14570,5373,2306,628,460
2011,Bury,E08000002,Total,78113,24263,26003,12647,9981,3454,1187,321,257
2011,Manchester,E08000003,Total,204969,72255,61144,31456,21743,10226,5375,1527,1243
2011,Oldham,E08000004,Total,89703,26790,28033,15000,11280,4681,2320,795,804
2011,Rochdale,E08000005,Total,87552,28183,27518,13687,10581,4447,2081,593,462
2011,Salford,E08000006,Total,103556,37751,33517,15597,10567,3908,1421,384,411
2011,Stockport,E08000007,Total,121979,38535,41329,18868,16015,5199,1509,352,172
2011,Tameside,E08000008,Total,94953,31037,30941,15765,11470,3805,1353,345,237
2011,Trafford,E08000009,Total,94484,28179,31108,15335,13262,4675,1416,302,207
2011,Wigan,E08000010,Total,136386,40053,47498,23861,17953,5283,1400,228,110
2011,Burnley,E07000117,Total,37550,12506,12312,6028,4151,1572,668,190,123
2011,Chorley,E07000118,Total,44919,12724,16445,7493,5942,1688,484,97,46
2011,Fylde,E07000119,Total,34885,12328,12812,4816,3495,1080,271,54,29
2011,Hyndburn,E07000120,Total,34341,11061,11449,5336,3990,1504,679,165,157
2011,Lancaster,E07000121,Total,57822,18838,20790,8281,6734,2212,743,143,81
2011,Pendle,E07000122,Total,37348,12088,12382,5399,4184,1775,981,282,257
2011,Preston,E07000123,Total,57567,19835,17505,8486,7154,2929,1156,299,203
2011,Ribble Valley,E07000124,Total,24045,6948,8773,3646,3336,1002,257,62,21
2011,Rossendale,E07000125,Total,29058,8988,10046,4655,3507,1289,386,120,67
2011,South Ribble,E07000126,Total,46102,12453,17059,7982,6145,1838,499,84,42
2011,West Lancashire,E07000127,Total,45381,12226,16340,7415,6482,2147,618,98,55
2011,Wyre,E07000128,Total,47281,14172,18449,6917,5394,1729,493,91,36
2011,Knowsley,E08000011,Total,61323,19041,18991,10794,8321,3070,893,145,68
2011,Liverpool,E08000012,Total,206515,80973,60213,30559,22422,8435,2851,704,358
2011,Sefton,E08000014,Total,117930,37820,39735,18512,14948,5054,1429,304,128
2011,St. Helens,E08000013,Total,75736,22694,26441,13094,9616,2988,706,144,53
2011,Wirral,E08000015,Total,140583,47329,46532,21818,16925,5796,1705,304,174
2011,East Riding of Yorkshire,E06000011,Total,143032,39276,57418,21535,18017,5105,1309,261,111
2011,"Kingston upon Hull, City of",E06000010,Total,112596,39788,35562,17174,13273,4540,1660,365,234
2011,North East Lincolnshire,E06000012,Total,69707,21793,25134,10699,8239,2748,837,194,63
2011,North Lincolnshire,E06000013,Total,70684,19420,26503,11570,8983,2924,971,205,108
2011,York,E06000014,Total,83552,25224,31228,12414,9977,3194,1152,267,96
2011,Craven,E07000163,Total,24583,7651,9691,3329,2696,878,253,43,42
2011,Hambleton,E07000164,Total,38117,10679,14896,5811,4819,1438,389,68,17
2011,Harrogate,E07000165,Total,67169,19340,25628,10051,8750,2590,650,121,39
2011,Richmondshire,E07000166,Total,20207,5239,8116,2996,2724,864,221,36,11
2011,Ryedale,E07000167,Total,22524,6546,9149,3122,2553,834,255,45,20
2011,Scarborough,E07000168,Total,49435,16966,18655,6616,4817,1600,586,115,80
2011,Selby,E07000169,Total,34559,8533,13330,5875,4897,1404,410,78,32
2011,Barnsley,E08000016,Total,100734,29734,36871,16770,12530,3669,932,165,63
2011,Doncaster,E08000017,Total,126487,36104,45170,20979,16425,5569,1699,359,182
2011,Rotherham,E08000018,Total,108293,30902,38646,17826,14244,4506,1534,367,268
2011,Sheffield,E08000019,Total,229928,73315,77370,33761,28316,10429,4633,1156,948
2011,Bradford,E08000032,Total,199296,58934,60941,29949,25313,11834,7528,2355,2442
2011,Calderdale,E08000033,Total,88621,29023,30183,13197,10711,3548,1376,333,250
2011,Kirklees,E08000034,Total,173525,52553,58412,26257,22372,8076,3859,1103,893
2011,Leeds,E08000035,Total,320596,106739,108020,47243,37941,13176,5113,1311,1053
2011,Wakefield,E08000036,Total,140414,41640,50597,23340,17568,5293,1479,319,178
2011,Derby,E06000015,Total,102271,31578,33604,15537,13438,4983,2123,599,409
2011,Leicester,E06000016,Total,123125,36951,33618,19422,17970,8262,4422,1407,1073
2011,Nottingham,E06000018,Total,126131,45617,38283,18679,12803,6333,3108,789,519
2011,Rutland,E06000017,Total,15002,4111,6089,2217,1845,577,117,31,15
2011,Amber Valley,E07000032,Total,52596,14658,20280,8233,6802,1923,546,113,41
2011,Bolsover,E07000033,Total,32801,9521,12197,5337,4021,1280,345,63,37
2011,Chesterfield,E07000034,Total,46796,15412,16996,7097,5203,1559,396,83,50
2011,Derbyshire Dales,E07000035,Total,30744,8899,12289,4173,3810,1218,292,37,26
2011,Erewash,E07000036,Total,48692,14164,18141,8038,6139,1643,431,88,48
2011,High Peak,E07000037,Total,38946,11362,14259,6043,5215,1582,379,73,33
2011,North East Derbyshire,E07000038,Total,43070,12158,16643,6799,5570,1439,354,76,31
2011,South Derbyshire,E07000039,Total,38992,10059,14598,6486,5587,1686,457,84,35
2011,Blaby,E07000129,Total,38686,10095,14248,6322,5644,1755,465,99,58
2011,Charnwood,E07000130,Total,66516,18658,23591,10518,9334,3085,975,228,127
