LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER
E12000007 London,,,,,,,
E12000007 London,     Total: Age,"4,887,435","405,279","1,387,296","124,250","1,088,640","281,041"
E12000007 London,0,"61,345","15,907","21,755","1,253","19,928","4,597"
E12000007 London,1,"58,064","15,341","22,067","1,046","20,535","4,585"
E12000007 London,2,"54,760","14,716","21,492","1,038","21,059","4,511"
E12000007 London,3,"52,912","13,885","21,993","1,037","21,755","4,572"
E12000007 London,4,"49,832","13,280","21,365",895,"21,406","4,564"
E12000007 London,5,"46,958","11,940","20,737",809,"21,005","4,496"
E12000007 London,6,"44,534","10,666","19,620",773,"19,524","4,154"
E12000007 London,7,"43,190","10,065","18,973",719,"18,896","4,036"
E12000007 London,8,"41,453","9,394","18,188",719,"18,209","3,773"
E12000007 London,9,"40,911","8,977","17,725",641,"17,998","3,726"
E12000007 London,10,"42,238","9,100","17,251",743,"17,947","3,721"
E12000007 London,11,"43,109","8,730","17,198",740,"18,010","3,600"
E12000007 London,12,"43,134","8,439","17,032",744,"17,723","3,658"
E12000007 London,13,"42,992","8,731","17,328",828,"18,399","3,542"
E12000007 London,14,"43,399","8,212","17,470",770,"18,348","3,729"
E12000007 London,15,"44,622","8,010","17,667",905,"18,630","3,765"
E12000007 London,16,"44,402","7,868","17,282",934,"17,862","3,978"
E12000007 London,17,"45,739","7,678","17,888","1,143","17,828","4,024"
E12000007 London,18,"46,782","7,411","18,183","1,645","16,718","4,010"
E12000007 London,19,"49,520","6,796","19,156","2,359","14,819","4,035"
E12000007 London,20,"53,895","6,967","20,889","3,551","15,617","4,613"
E12000007 London,21,"57,429","7,118","22,588","4,033","15,773","4,776"
E12000007 London,22,"67,567","7,497","24,826","4,848","16,124","4,881"
E12000007 London,23,"79,616","7,716","27,307","4,177","16,222","5,029"
E12000007 London,24,"86,300","7,616","28,078","3,625","16,450","4,844"
E12000007 London,25,"94,814","7,984","30,328","3,548","17,061","5,777"
E12000007 London,26,"99,086","7,842","31,389","3,567","16,708","5,988"
E12000007 London,27,"101,534","7,677","31,440","3,681","16,258","6,036"
E12000007 London,28,"103,520","7,359","32,668","4,128","16,927","6,097"
E12000007 London,29,"104,757","7,400","32,897","3,846","16,355","6,294"
E12000007 London,30,"105,504","7,020","32,721","3,583","17,270","6,574"
E12000007 London,31,"102,025","6,586","32,192","3,688","17,115","6,396"
E12000007 London,32,"97,055","6,263","30,718","3,171","17,307","6,089"
E12000007 London,33,"89,949","5,715","28,955","2,899","16,215","6,000"
E12000007 London,34,"86,409","5,347","28,872","2,817","16,614","5,819"
E12000007 London,35,"81,814","4,974","27,077","2,432","16,738","5,504"
