LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER,total
E12000007 London,,,,,,,,
E12000007 London,     Total: Age,2472638,206733,682184,66886,580866,131345,4140652
E12000007 London,0,29632,7815,10646,573,9803,2169,60638
E12000007 London,1,28144,7673,10723,511,10203,2154,59408
E12000007 London,2,26826,7286,10696,526,10327,2192,57853
E12000007 London,3,25634,6830,10901,486,10540,2191,56582
E12000007 London,4,24091,6631,10383,450,10707,2212,54474
E12000007 London,5,22992,5923,10104,398,10533,2161,52111
E12000007 London,6,21668,5192,9573,399,9653,1929,48414
E12000007 London,7,21285,5025,9346,360,9248,1966,47230
E12000007 London,8,20327,4556,9006,380,8975,1935,45179
E12000007 London,9,20033,4398,8660,302,8828,1806,44027
E12000007 London,10,20590,4496,8410,363,8730,1828,44417
E12000007 London,11,21077,4350,8355,388,8894,1724,44788
E12000007 London,12,20913,4174,8328,351,8805,1716,44287
E12000007 London,13,20882,4355,8423,421,9091,1713,44885
E12000007 London,14,21264,4135,8521,404,9095,1801,45220
E12000007 London,15,21354,3879,8342,400,9223,1786,44984
E12000007 London,16,21632,3894,8341,474,9030,1877,45248
E12000007 London,17,22167,3815,8507,567,8873,1838,45767
E12000007 London,18,23499,3679,8594,809,8462,1873,46916
E12000007 London,19,25413,3643,8946,1246,7588,2012,48848
E12000007 London,20,27645,3442,9354,1986,7710,2078,52215
E12000007 London,21,29662,3648,9980,2098,8069,2226,55683
E12000007 London,22,35070,3887,11186,2472,8617,2232,63464
E12000007 London,23,41792,4001,12424,2190,8910,2434,71751
E12000007 London,24,45703,4074,13188,2002,9133,2356,76456
E12000007 London,25,48770,4088,13925,1806,9170,2620,80379
E12000007 London,26,50640,4057,14764,1864,9120,2750,83195
E12000007 London,27,51215,3993,15300,2020,8825,2811,84164
E12000007 London,28,52067,3827,16012,2288,9334,2893,86421
E12000007 London,29,52395,3915,16248,2139,9029,2893,86619
E12000007 London,30,51742,3615,16042,1932,9398,2965,85694
E12000007 London,31,49877,3387,15832,1980,9647,2935,83658
E12000007 London,32,47100,3206,15003,1776,9527,2637,79249
E12000007 London,33,43446,2961,13904,1599,9102,2706,73718
E12000007 London,34,41450,2778,13782,1502,9310,2522,71344
E12000007 London,35,39323,2643,13263,1338,9438,2525,68530
E12000007 London,36,38914,2471,12617,1252,9393,2307,66954
E12000007 London,37,37475,2403,12182,1171,9038,2395,64664
E12000007 London,38,37040,2383,11738,1099,9749,2346,64355
E12000007 London,39,37074,2303,11317,1010,9245,2330,63279
E12000007 London,40,36326,2231,10598,983,10352,2287,62777
E12000007 London,41,34943,2063,10260,906,10576,2212,60960
E12000007 London,42,35388,2090,9819,952,11092,2056,61397
E12000007 London,43,35226,2029,9195,782,11019,1959,60210
E12000007 London,44,35451,2039,8739,777,11108,1876,59990
E12000007 London,45,35300,2004,8476,746,11277,1871,59674
E12000007 London,46,35133,1960,8024,746,11081,1823,58767
E12000007 London,47,34597,1800,7822,846,10349,1645,57059
E12000007 London,48,33488,1629,7827,829,10007,1572,55352
E12000007 London,49,32402,1434,7605,684,8429,1503,52057
E12000007 London,50,31871,1380,7315,680,8750,1504,51500
E12000007 London,51,29979,1292,7214,673,7579,1354,48091
E12000007 London,52,29320,1228,7161,707,7035,1256,46707
E12000007 London,53,28360,1057,6992,701,5946,1226,44282
E12000007 London,54,27238,942,7028,681,5510,1227,42626
E12000007 London,55,26695,827,6541,697,4980,1125,40865
E12000007 London,56,25590,810,6566,732,4509,1054,39261
E12000007 London,57,25548,742,6143,718,3827,997,37975
E12000007 London,58,24826,638,6081,656,3668,942,36811
E12000007 London,59,24581,624,5666,622,3103,885,35481
E12000007 London,60,24257,577,5738,569,3100,820,35061
E12000007 London,61,25089,563,5293,566,2804,813,35128
E12000007 London,62,25480,574,4813,548,2627,762,34804
E12000007 London,63,27490,491,4603,497,2278,712,36071
E12000007 London,64,27934,474,4178,410,2263,675,35934
E12000007 London,65,21598,455,3769,327,2423,601,29173
E12000007 London,66,21636,475,3508,284,2424,582,28909
E12000007 London,67,20361,384,3414,247,2433,530,27369
E12000007 London,68,19715,432,3343,231,2606,437,26764
E12000007 London,69,16842,356,3163,218,2406,458,23443
E12000007 London,70,16356,350,3159,207,2490,417,22979
E12000007 London,71,17497,342,3062,221,2574,425,24121
E12000007 London,72,17431,303,2929,209,2413,392,23677
E12000007 London,73,17078,292,2629,193,2133,352,22677
E12000007 London,74,16622,305,2463,185,2170,358,22103
E12000007 London,75,16107,267,2212,175,1951,322,21034
