LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER,total
E12000007 London,,,,,,,,
E12000007 London,     Total: Age,2414797,198546,705112,57364,507774,149696,4033289
E12000007 London,0,31713,8092,11109,680,10125,2428,64147
E12000007 London,1,29920,7668,11344,535,10332,2431,62230
E12000007 London,2,27934,7430,10796,512,10732,2319,59723
E12000007 London,3,27278,7055,11092,551,11215,2381,59572
E12000007 London,4,25741,6649,10982,445,10699,2352,56868
E12000007 London,5,23966,6017,10633,411,10472,2335,53834
E12000007 London,6,22866,5474,10047,374,9871,2225,50857
E12000007 London,7,21905,5040,9627,359,9648,2070,48649
E12000007 London,8,21126,4838,9182,339,9234,1838,46557
E12000007 London,9,20878,4579,9065,339,9170,1920,45951
E12000007 London,10,21648,4604,8841,380,9217,1893,46583
E12000007 London,11,22032,4380,8843,352,9116,1876,46599
E12000007 London,12,22221,4265,8704,393,8918,1942,46443
E12000007 London,13,22110,4376,8905,407,9308,1829,46935
E12000007 London,14,22135,4077,8949,366,9253,1928,46708
E12000007 London,15,23268,4131,9325,505,9407,1979,48615
E12000007 London,16,22770,3974,8941,460,8832,2101,47078
E12000007 London,17,23572,3863,9381,576,8955,2186,48533
E12000007 London,18,23283,3732,9589,836,8256,2137,47833
E12000007 London,19,24107,3153,10210,1113,7231,2023,47837
E12000007 London,20,26250,3525,11535,1565,7907,2535,53317
E12000007 London,21,27767,3470,12608,1935,7704,2550,56034
E12000007 London,22,32497,3610,13640,2376,7507,2649,62279
E12000007 London,23,37824,3715,14883,1987,7312,2595,68316
E12000007 London,24,40597,3542,14890,1623,7317,2488,70457
E12000007 London,25,46044,3896,16403,1742,7891,3157,79133
E12000007 London,26,48446,3785,16625,1703,7588,3238,81385
E12000007 London,27,50319,3684,16140,1661,7433,3225,82462
E12000007 London,28,51453,3532,16656,1840,7593,3204,84278
E12000007 London,29,52362,3485,16649,1707,7326,3401,84930
E12000007 London,30,53762,3405,16679,1651,7872,3609,86978
E12000007 London,31,52148,3199,16360,1708,7468,3461,84344
E12000007 London,32,49955,3057,15715,1395,7780,3452,81354
E12000007 London,33,46503,2754,15051,1300,7113,3294,76015
E12000007 London,34,44959,2569,15090,1315,7304,3297,74534
E12000007 London,35,42491,2331,13814,1094,7300,2979,70009
E12000007 London,36,42230,2173,13183,1115,7270,2922,68893
E12000007 London,37,40690,2113,12906,1018,6869,3029,66625
E12000007 London,38,40381,2208,12039,970,7654,2877,66129
E12000007 London,39,40144,2098,11655,846,7233,2632,64608
E12000007 London,40,38795,2082,10929,732,8338,2695,63571
E12000007 London,41,37089,1982,10579,713,8428,2624,61415
E12000007 London,42,36311,1972,9960,785,8870,2574,60472
E12000007 London,43,36752,1893,9320,594,8821,2525,59905
E12000007 London,44,37281,1824,8408,642,8815,2353,59323
E12000007 London,45,35903,1756,8228,605,8934,2260,57686
E12000007 London,46,35817,1708,7780,590,8835,2133,56863
E12000007 London,47,34948,1580,7454,605,8615,2113,55315
E12000007 London,48,33707,1469,7440,629,8029,1993,53267
E12000007 London,49,32652,1290,7384,508,6975,1807,50616
E12000007 London,50,32138,1252,7468,566,6906,1680,50010
E12000007 London,51,30689,1069,7169,510,6388,1592,47417
E12000007 London,52,29977,987,6998,545,5683,1429,45619
E12000007 London,53,28967,870,6825,585,5090,1319,43656
E12000007 London,54,27595,778,6652,542,4504,1311,41382
E12000007 London,55,26847,751,6444,550,4027,1272,39891
E12000007 London,56,25668,650,6146,479,3597,1079,37619
E12000007 London,57,25108,523,5570,490,2978,1127,35796
E12000007 London,58,24415,566,5626,425,2748,967,34747
E12000007 London,59,24253,525,4987,415,2316,994,33490
E12000007 London,60,24131,463,4590,408,2264,957,32813
E12000007 London,61,24388,429,4378,379,1999,957,32530
E12000007 London,62,25188,398,3901,362,1797,797,32443
E12000007 London,63,27226,375,3667,366,1621,802,34057
E12000007 London,64,27732,361,3213,319,1454,670,33749
E12000007 London,65,20768,373,2923,265,1397,611,26337
E12000007 London,66,21148,340,2830,267,1453,578,26616
E12000007 London,67,19094,342,2777,220,1565,513,24511
E12000007 London,68,17631,314,2916,224,1782,487,23354
E12000007 London,69,14953,312,2717,192,1690,432,20296
E12000007 London,70,14400,307,2927,241,1926,419,20220
E12000007 London,71,15087,346,3067,244,2178,385,21307
E12000007 London,72,14684,323,2998,217,2042,384,20648
E12000007 London,73,14088,277,2713,187,1922,347,19534
E12000007 London,74,13656,282,2758,181,1825,318,19020
E12000007 London,75,12998,240,2514,167,1812,319,18050
E12000007 London,76,12403,260,2105,161,1557,284,16770
E12000007 London,77,11606,232,2047,148,1402,245,15680
E12000007 London,78,11397,221,1775,108,1263,216,14980
E12000007 London,79,10905,166,1606,114,1066,196,14053
E12000007 London,80,10633,148,1410,94,1000,225,13510
E12000007 London,81,9719,165,1172,80,833,179,12148
E12000007 London,82,8666,153,869,64,717,132,10601
E12000007 London,83,7803,105,800,63,564,95,9430
E12000007 London,84,7147,119,597,62,534,86,8545
E12000007 London,     85 - 89,24807,289,1765,174,1344,304,28683
E12000007 London,     90 - 94,8394,93,515,46,348,80,9476
E12000007 London,     95 - 99,1731,34,87,16,74,37,1979
E12000007 London,     100 and over,207,4,22,1,16,7,257
    E42000089 Inner London,    E42000089 Inner London,0,0,0,0,0,0,0
    E42000089 Inner London,     Total: Age,934127,92793,228127,30319,252036,71272,1608674
    E42000089 Inner London,0,11955,3619,3747,296,4790,1014,25421
    E42000089 Inner London,1,10809,3406,3819,229,4849,1052,24164
    E42000089 Inner London,2,9593,3321,3524,240,5134,1008,22820
    E42000089 Inner London,3,9051,3026,3643,238,5220,944,22122
    E42000089 Inner London,4,8430,2738,3471,188,5040,1013,20880
    E42000089 Inner London,5,7726,2478,3585,178,4873,1065,19905
    E42000089 Inner London,6,7178,2332,3402,147,4608,888,18555
    E42000089 Inner London,7,6714,2119,3249,141,4638,840,17701
    E42000089 Inner London,8,6559,1964,3108,133,4464,735,16963
    E42000089 Inner London,9,6098,1949,3073,120,4413,824,16477
    E42000089 Inner London,10,6340,1966,2994,128,4466,843,16737
    E42000089 Inner London,11,6375,1912,2960,122,4356,797,16522
    E42000089 Inner London,12,6250,1786,2902,173,4202,922,16235
    E42000089 Inner London,13,5914,1774,2932,147,4472,813,16052
    E42000089 Inner London,14,5760,1742,2909,119,4471,897,15898
    E42000089 Inner London,15,6051,1648,3023,187,4419,853,16181
    E42000089 Inner London,16,5726,1536,2730,214,4255,941,15402
    E42000089 Inner London,17,5842,1589,2894,249,4204,946,15724
    E42000089 Inner London,18,6800,1563,3261,466,4105,990,17185
    E42000089 Inner London,19,8809,1419,4007,793,3598,985,19611
    E42000089 Inner London,20,9962,1694,4650,1068,3998,1310,22682
    E42000089 Inner London,21,10963,1703,5108,1373,3943,1352,24442
    E42000089 Inner London,22,13980,1842,5401,1582,3840,1489,28134
    E42000089 Inner London,23,17605,1919,5691,1342,3840,1301,31698
    E42000089 Inner London,24,20589,1885,5898,1044,3851,1334,34601
    E42000089 Inner London,25,24307,2164,6369,1049,4147,1732,39768
    E42000089 Inner London,26,26501,1994,6387,1106,4083,1614,41685
    E42000089 Inner London,27,27686,2151,6207,1080,3858,1802,42784
