PHE Region Code,PHE Region Name,PHE Centre Code,PHE Centre Name,Upper LA Code,LA - UT Name,LA Code,LA Name,Chlamydia Tests:nongum,Chlamydia Tests:gum,Chlamydia Tests:total,Positive Tests Reported:nongum,Positive Tests Reported:gum,Positive Tests Reported:total,Combined Coverage,Percent test pos,Diagnosis rate,15-24 Year Old Population Estimates
X25001,London,X25001AA,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,5865,2518,8383,325,276,601,0.324607938,0.071692711,2327.202323,25825
X25001,London,X25001AA,London,E09000003,Barnet,E09000003,Barnet,3090,4097,7187,187,377,564,0.162726985,0.078475024,1277.000408,44166
X25001,London,X25001AA,London,E09000004,Bexley,E09000004,Bexley,2843,1934,4777,206,184,390,0.154866109,0.081641197,1264.345458,30846
X25001,London,X25001AA,London,E09000005,Brent,E09000005,Brent,5933,5882,11815,292,601,893,0.286486749,0.075581887,2165.320919,41241
X25001,London,X25001AA,London,E09000006,Bromley,E09000006,Bromley,4589,2280,6869,254,194,448,0.199657017,0.065220556,1302.174166,34404
X25001,London,X25001AA,London,E09000007,Camden,E09000007,Camden,9084,4399,13483,550,333,883,0.390099239,0.065489876,2554.755085,34563
X25001,London,X25001AA,London,E09000001,City of London,E09000001,City of London,69,68,137,5,<5,<10,0.188705234,<10%,"<1,110",726
X25001,London,X25001AA,London,E09000008,Croydon,E09000008,Croydon,6648,5733,12381,495,747,1242,0.265892105,0.100314999,2667.296624,46564
X25001,London,X25001AA,London,E09000009,Ealing,E09000009,Ealing,3799,4369,8168,132,391,523,0.197023422,0.064030362,1261.54811,41457
X25001,London,X25001AA,London,E09000010,Enfield,E09000010,Enfield,2498,5093,7591,142,311,453,0.181420582,0.059675932,1082.644233,41842
X25001,London,X25001AA,London,E09000011,Greenwich,E09000011,Greenwich,10449,2206,12655,686,214,900,0.351791621,0.071118135,2501.876407,35973
X25001,London,X25001AA,London,E09000012,Hackney,E09000012,Hackney,7524,6413,13937,478,625,1103,0.422589448,0.079141853,3344.451183,32980
X25001,London,X25001AA,London,E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,862,4696,5558,44,418,462,0.24842444,0.083123426,2064.989049,22373
X25001,London,X25001AA,London,E09000014,Haringey,E09000014,Haringey,6715,5750,12465,658,649,1307,0.381146037,0.10485359,3996.453033,32704
X25001,London,X25001AA,London,E09000015,Harrow,E09000015,Harrow,995,2741,3736,34,290,324,0.121634381,0.086723769,1054.859189,30715
X25001,London,X25001AA,London,E09000016,Havering,E09000016,Havering,5242,2387,7629,231,188,419,0.25051719,0.054922008,1375.890717,30453
X25001,London,X25001AA,London,E09000017,Hillingdon,E09000017,Hillingdon,8400,3341,11741,315,273,588,0.284395892,0.050080913,1424.280593,41284
X25001,London,X25001AA,London,E09000018,Hounslow,E09000018,Hounslow,5924,2746,8670,363,252,615,0.266941716,0.070934256,1893.531205,32479
X25001,London,X25001AA,London,E09000019,Islington,E09000019,Islington,3156,5093,8249,165,457,622,0.274235372,0.075403079,2067.819149,30080
X25001,London,X25001AA,London,E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,1503,2759,4262,84,212,296,0.262794426,0.069450962,1825.132569,16218
X25001,London,X25001AA,London,E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,3144,3026,6170,143,261,404,0.262240734,0.06547812,1717.103026,23528
X25001,London,X25001AA,London,E09000022,Lambeth,E09000022,Lambeth,18799,5090,23889,1950,516,2466,0.614950961,0.103227427,6347.980539,38847
X25001,London,X25001AA,London,E09000023,Lewisham,E09000023,Lewisham,14859,1610,16469,1390,140,1530,0.450588235,0.092901816,4186.046512,36550
X25001,London,X25001AA,London,E09000024,Merton,E09000024,Merton,2302,2660,4962,118,260,378,0.226513284,0.07617896,1725.554643,21906
X25001,London,X25001AA,London,E09000025,Newham,E09000025,Newham,8257,5115,13372,485,505,990,0.263778751,0.074035298,1952.893834,50694
X25001,London,X25001AA,London,E09000026,Redbridge,E09000026,Redbridge,6098,2408,8506,305,176,481,0.23096557,0.056548319,1306.071467,36828
X25001,London,X25001AA,London,E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,2224,2068,4292,80,<160,<240,0.245467544,<10%,"<1,350",17485
X25001,London,X25001AA,London,E09000028,Southwark,E09000028,Southwark,10101,5822,15923,824,582,1406,0.376216804,0.088299943,3321.99225,42324
X25001,London,X25001AA,London,E09000029,Sutton,E09000029,Sutton,2867,2390,5257,167,224,391,0.23860748,0.074377021,1774.691358,22032
X25001,London,X25001AA,London,E09000030,Tower Hamlets,E09000030,Tower Hamlets,7793,4244,12037,321,344,665,0.278976522,0.055246324,1541.242728,43147
X25001,London,X25001AA,London,E09000031,Waltham Forest,E09000031,Waltham Forest,6401,4311,10712,267,427,694,0.308525346,0.064787155,1998.847926,34720
X25001,London,X25001AA,London,E09000032,Wandsworth,E09000032,Wandsworth,6617,5614,12231,393,588,981,0.373785221,0.080206034,2997.983008,32722
X25001,London,X25001AA,London,E09000033,Westminster,E09000033,Westminster,1887,4372,6259,85,354,439,0.231523267,0.070139,1623.881039,27034
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E06000055,Bedford,E06000055,Bedford,4242,1668,5910,427,225,652,0.294763092,0.110321489,3251.870324,20050
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,3292,1698,4990,193,164,357,0.170150373,0.071543086,1217.308282,29327
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,Hertfordshire,E07000095,Broxbourne,607,819,1426,26,80,106,0.125307557,0.074333801,931.4586995,11380
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000096,Dacorum,13405,1145,14550,662,111,773,0.873401765,0.053127148,4640.134462,16659
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000242,East Hertfordshire,859,1375,2234,43,150,193,0.14752691,0.086392122,1274.516278,15143
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000098,Hertsmere,636,931,1567,31,94,125,0.131096796,0.079770262,1045.76257,11953
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000099,North Hertfordshire,956,1007,1963,45,109,154,0.147228681,0.07845135,1155.028876,13333
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000240,St Albans,700,1618,2318,46,147,193,0.163966895,0.083261432,1365.211855,14137
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000243,Stevenage,2829,1008,3837,323,128,451,0.354949121,0.117539745,4172.062905,10810
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000102,Three Rivers,572,857,1429,33,89,122,0.146458953,0.085374388,1250.384339,9757
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000103,Watford,748,1148,1896,39,93,132,0.178480655,0.069620253,1242.58684,10623
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000015,,E07000241,Welwyn Hatfield,896,1299,2195,47,121,168,0.11255833,0.076537585,861.4942823,19501
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E06000032,Luton,E06000032,Luton,3483,1656,5139,208,172,380,0.171861414,0.073944347,1270.818005,29902
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E06000042,Milton Keynes,E06000042,Milton Keynes,7753,1285,9038,523,155,678,0.318441266,0.075016597,2388.837996,28382
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,Northamptonshire,E07000150,Corby,383,405,788,21,52,73,0.102684389,0.092639594,951.2640083,7674
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,,E07000151,Daventry,574,551,1125,30,53,83,0.13137919,0.073777778,969.286465,8563
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,,E07000152,East Northamptonshire,435,509,944,22,58,80,0.096612425,0.084745763,818.7493604,9771
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,,E07000153,Kettering,10702,978,11680,632,121,753,1.09733183,0.064469178,7074.408117,10644
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,,E07000154,Northampton,1627,2113,3740,111,327,438,0.131764374,0.117112299,1543.122886,28384
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,,E07000155,South Northamptonshire,474,446,920,27,42,69,0.105432042,0.075,790.7403163,8726
X25002,Midlands and East of England,X25002AA,South Midlands and Hertfordshire,E10000021,,E07000156,Wellingborough,371,521,892,22,75,97,0.106253722,0.108744395,1155.449672,8395
X25002,Midlands and East of England,X25002AC,East Midlands,E06000015,Derby,E06000015,Derby,5669,3369,9038,330,535,865,0.245138192,0.095707015,2346.144457,36869
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,Derbyshire,E07000032,Amber Valley,2946,877,3823,135,132,267,0.281289088,0.069840439,1964.535354,13591
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000033,Bolsover,1935,518,2453,109,78,187,0.270124436,0.076233184,2059.244577,9081
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000034,Chesterfield,7125,529,7654,326,68,394,0.616512284,0.051476352,3173.580346,12415
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000035,Derbyshire Dales,1598,289,1887,62,26,88,0.266487784,0.04663487,1242.762322,7081
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000036,Erewash,2581,872,3453,143,102,245,0.254984493,0.070952795,1809.186235,13542
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000037,High Peak,2463,397,2860,129,40,169,0.264716772,0.059090909,1564.235468,10804
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000038,North East Derbyshire,2915,457,3372,154,63,217,0.310382916,0.064353499,1997.42268,10864
X25002,Midlands and East of England,X25002AC,East Midlands,E10000007,,E07000039,South Derbyshire,1773,839,2612,67,102,169,0.24182946,0.064701378,1564.669938,10801
X25002,Midlands and East of England,X25002AC,East Midlands,E06000016,Leicester,E06000016,Leicester,12866,3716,16582,654,407,1061,0.276888139,0.063985044,1771.669978,59887
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,Leicestershire,E07000129,Blaby,2407,885,3292,133,82,215,0.303466077,0.065309842,1981.932153,10848
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,,E07000130,Charnwood,6526,1712,8238,303,165,468,0.280061193,0.056809905,1591.024987,29415
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,,E07000131,Harborough,1640,555,2195,67,54,121,0.24115579,0.055125285,1329.378159,9102
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,,E07000132,Hinckley and Bosworth,2058,798,2856,116,104,220,0.252564556,0.077030812,1945.525292,11308
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,,E07000133,Melton,1228,143,1371,77,14,91,0.245875179,0.066374909,1631.994261,5576
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,,E07000134,North West Leicestershire,2277,504,2781,96,54,150,0.267326733,0.053937433,1441.891762,10403
X25002,Midlands and East of England,X25002AC,East Midlands,E10000018,,E07000135,Oadby and Wigston,1553,450,2003,46,36,82,0.244268293,0.040938592,1000,8200
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,Lincolnshire,E07000136,Boston,1042,428,1470,62,64,126,0.201425048,0.085714286,1726.500411,7298
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,,E07000137,East Lindsey,1892,361,2253,132,52,184,0.163628441,0.081668886,1336.335246,13769
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,,E07000138,Lincoln,4598,1501,6099,231,193,424,0.315422011,0.069519593,2192.800993,19336
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,,E07000139,North Kesteven,4745,685,5430,281,96,377,0.46927664,0.069429098,3258.145363,11571
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,,E07000140,South Holland,1076,239,1315,74,25,99,0.139819245,0.075285171,1052.631579,9405
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,,E07000141,South Kesteven,2313,1095,3408,140,137,277,0.237656904,0.081279343,1931.659693,14340
X25002,Midlands and East of England,X25002AC,East Midlands,E10000019,,E07000142,West Lindsey,1298,491,1789,83,74,157,0.179979879,0.087758524,1579.476861,9940
X25002,Midlands and East of England,X25002AC,East Midlands,E06000018,Nottingham,E06000018,Nottingham,18076,4306,22382,1365,524,1889,0.312680739,0.084398177,2638.968441,71581
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,Nottinghamshire,E07000170,Ashfield,1855,1149,3004,163,168,331,0.207515888,0.110186418,2286.543244,14476
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,,E07000171,Bassetlaw,1865,1558,3423,179,170,349,0.261577258,0.101957347,2666.972337,13086
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,,E07000172,Broxtowe,1700,618,2318,151,71,222,0.176046176,0.095772217,1686.033265,13167
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,,E07000173,Gedling,1868,990,2858,179,131,310,0.221980583,0.10846746,2407.76699,12875
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,,E07000174,Mansfield,1589,1280,2869,106,197,303,0.224825641,0.105611711,2374.422067,12761
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,,E07000175,Newark and Sherwood,1347,899,2246,110,118,228,0.170190195,0.101513802,1727.665378,13197
X25002,Midlands and East of England,X25002AC,East Midlands,E10000024,,E07000176,Rushcliffe,1273,640,1913,104,75,179,0.14971044,0.093570308,1400.845203,12778
X25002,Midlands and East of England,X25002AC,East Midlands,E06000017,Rutland,E06000017,Rutland,700,200,900,44,16,60,0.197671865,0.066666667,1317.812431,4553
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000003,Cambridgeshire,E07000008,Cambridge,8498,940,9438,402,79,481,0.340808146,0.050964187,1736.901022,27693
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000003,,E07000009,East Cambridgeshire,2191,239,2430,95,14,109,0.282952958,0.044855967,1269.212855,8588
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000003,,E07000010,Fenland,2535,294,2829,144,33,177,0.259731913,0.062566278,1625.045905,10892
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000003,,E07000011,Huntingdonshire,7090,991,8081,283,95,378,0.412232822,0.046776389,1928.276284,19603
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000003,,E07000012,South Cambridgeshire,3641,614,4255,144,50,194,0.267189953,0.04559342,1218.210361,15925
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000012,Essex,E07000066,Basildon,2177,1323,3500,163,152,315,0.164558747,0.09,1481.028727,21269
X25002,Midlands and East of England,X25002AD,Anglia and Essex,E10000012,,E07000067,Braintree,1613,912,2525,107,73,180,0.151897973,0.071287129,1082.837033,16623
