PHE Region Code,PHE Region Name,PHE Centre Code,PHE Centre Name,Upper LA Code,LA - UT,LA code,Local authority,Chlamydia tests        Non-GUM tests                    (a),Chlamydia tests        GUM tests                             (b) ,Chlamydia tests        Total tests                                            (a + b),Positive testsNon-GUM positives                    (c),Positive testsGUM positives                             (d) ,Positive testsTotal positives                                           (c + d),Percent of population tested                        (a + b / n)*101,Percent of tests positive                                 ( c + d / a + b)*101,"Detection rate per 100,000 (c+d)/ (n) *   100,001",Population estimates  15-24 year olds                                           (n)
X25001,London,X25001AA,London,E09000001,City of London,E09000001,City of London,45,187,232,<5,15,<20,0.370015949,<10.0%,"<2,720",627
X25001,London,X25001AA,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,5290,2582,7872,272,288,560,0.305554477,0.071138211,2173.6599,25763
X25001,London,X25001AA,London,E09000003,Barnet,E09000003,Barnet,3187,4497,7684,207,393,600,0.176173881,0.078084331,1375.641966,43616
X25001,London,X25001AA,London,E09000004,Bexley,E09000004,Bexley,3021,1606,4627,218,180,398,0.149668446,0.086016858,1287.400938,30915
X25001,London,X25001AA,London,E09000005,Brent,E09000005,Brent,5599,5693,11292,274,556,830,0.280679078,0.073503365,2063.08568,40231
X25001,London,X25001AA,London,E09000006,Bromley,E09000006,Bromley,5377,2312,7689,343,200,543,0.224227932,0.070620367,1583.505876,34291
X25001,London,X25001AA,London,E09000007,Camden,E09000007,Camden,9940,5160,15100,564,317,881,0.441494649,0.058344371,2575.872756,34202
X25001,London,X25001AA,London,E09000008,Croydon,E09000008,Croydon,7805,5124,12929,633,633,1266,0.279709236,0.097919406,2738.89622,46223
X25001,London,X25001AA,London,E09000009,Ealing,E09000009,Ealing,2454,4881,7335,153,448,601,0.182535337,0.081935924,1495.620147,40184
X25001,London,X25001AA,London,E09000010,Enfield,E09000010,Enfield,2340,5110,7450,157,545,702,0.180904279,0.094228188,1704.628236,41182
X25001,London,X25001AA,London,E09000011,Greenwich,E09000011,Greenwich,9160,1836,10996,670,215,885,0.313142532,0.080483812,2520.290474,35115
X25001,London,X25001AA,London,E09000012,Hackney,E09000012,Hackney,7865,7590,15455,602,752,1354,0.487431797,0.087609188,4270.350396,31707
X25001,London,X25001AA,London,E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,1340,5112,6452,82,432,514,0.310386299,0.07966522,2472.699283,20787
X25001,London,X25001AA,London,E09000014,Haringey,E09000014,Haringey,1900,5618,7518,113,587,700,0.23357256,0.09310987,2174.791065,32187
X25001,London,X25001AA,London,E09000015,Harrow,E09000015,Harrow,2110,2702,4812,99,216,315,0.165054538,0.065461347,1080.469232,29154
X25001,London,X25001AA,London,E09000016,Havering,E09000016,Havering,4537,2377,6914,220,196,416,0.22835816,0.060167776,1373.980249,30277
X25001,London,X25001AA,London,E09000017,Hillingdon,E09000017,Hillingdon,7254,3360,10614,309,251,560,0.259555425,0.052760505,1369.42753,40893
X25001,London,X25001AA,London,E09000018,Hounslow,E09000018,Hounslow,5332,2734,8066,355,272,627,0.255836082,0.077733697,1988.70845,31528
X25001,London,X25001AA,London,E09000019,Islington,E09000019,Islington,3080,5752,8832,145,456,601,0.286251377,0.068048007,1947.883581,30854
X25001,London,X25001AA,London,E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,2628,2805,5433,155,246,401,0.348447922,0.073808209,2571.831709,15592
X25001,London,X25001AA,London,E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,2898,2877,5775,177,231,408,0.24759904,0.070649351,1749.271137,23324
X25001,London,X25001AA,London,E09000022,Lambeth,E09000022,Lambeth,11602,4814,16416,1121,460,1581,0.438707608,0.09630848,4225.126273,37419
X25001,London,X25001AA,London,E09000023,Lewisham,E09000023,Lewisham,10744,1604,12348,1102,149,1251,0.345911421,0.101311953,3504.496176,35697
X25001,London,X25001AA,London,E09000024,Merton,E09000024,Merton,2746,2572,5318,155,252,407,0.253250155,0.076532531,1938.187533,20999
X25001,London,X25001AA,London,E09000025,Newham,E09000025,Newham,7577,4285,11862,405,503,908,0.242047055,0.076546957,1852.796539,49007
X25001,London,X25001AA,London,E09000026,Redbridge,E09000026,Redbridge,5581,2469,8050,235,241,476,0.223078202,0.059130435,1319.071108,36086
X25001,London,X25001AA,London,E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,2522,2132,4654,<130,172,<300,0.269515868,<10.0%,"<1,700",17268
X25001,London,X25001AA,London,E09000028,Southwark,E09000028,Southwark,9574,6311,15885,800,562,1362,0.378043266,0.085741265,3241.390799,42019
X25001,London,X25001AA,London,E09000029,Sutton,E09000029,Sutton,3020,2117,5137,162,181,343,0.235804453,0.066770489,1574.477852,21785
X25001,London,X25001AA,London,E09000030,Tower Hamlets,E09000030,Tower Hamlets,6249,5090,11339,333,450,783,0.271794626,0.069053708,1876.842686,41719
X25001,London,X25001AA,London,E09000031,Waltham Forest,E09000031,Waltham Forest,3526,4246,7772,197,529,726,0.232270404,0.093412249,2169.690087,33461
X25001,London,X25001AA,London,E09000032,Wandsworth,E09000032,Wandsworth,9200,5858,15058,575,560,1135,0.482210907,0.075375216,3634.675121,31227
X25001,London,X25001AA,London,E09000033,Westminster,E09000033,Westminster,1593,4571,6164,77,355,432,0.246777164,0.070084361,1729.521979,24978
X25002,Midlands and East of England,X25002AE,West Midlands,E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",1343,2083,3426,105,226,331,0.171000749,0.096614127,1652.10881,20035
X25002,Midlands and East of England,X25002AE,West Midlands,E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,2401,1638,4039,223,212,435,0.180926357,0.107699926,1948.575524,22324
X25002,Midlands and East of England,X25002AE,West Midlands,E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,7685,2826,10511,402,279,681,0.305232896,0.064789268,1977.581601,34436
X25002,Midlands and East of England,X25002AE,West Midlands,E06000051,Shropshire,E06000051,Shropshire,2975,2325,5300,196,267,463,0.15219826,0.087358491,1329.581024,34823
X25002,Midlands and East of England,X25002AE,West Midlands,E08000025,Birmingham,E08000025,Birmingham,22838,15488,38326,1819,1839,3658,0.216180543,0.095444346,2063.321056,177287
X25002,Midlands and East of England,X25002AE,West Midlands,E08000026,Coventry,E08000026,Coventry,4812,5968,10780,296,816,1112,0.190006169,0.103153989,1959.989425,56735
X25002,Midlands and East of England,X25002AE,West Midlands,E08000027,Dudley,E08000027,Dudley,4263,2440,6703,295,254,549,0.17984492,0.081903625,1472.99509,37271
X25002,Midlands and East of England,X25002AE,West Midlands,E08000028,Sandwell,E08000028,Sandwell,3308,2971,6279,305,422,727,0.154544783,0.115782768,1789.362278,40629
X25002,Midlands and East of England,X25002AE,West Midlands,E08000029,Solihull,E08000029,Solihull,3484,1678,5162,294,153,447,0.211384111,0.086594343,1830.46683,24420
X25002,Midlands and East of England,X25002AE,West Midlands,E08000030,Walsall,E08000030,Walsall,7824,2368,10192,522,310,832,0.293700651,0.081632653,2397.556337,34702
X25002,Midlands and East of England,X25002AE,West Midlands,E08000031,Wolverhampton,E08000031,Wolverhampton,5951,2308,8259,576,270,846,0.244291292,0.102433709,2502.366304,33808
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,Staffordshire,E07000192,Cannock Chase,1954,878,2832,146,89,235,0.236670567,0.082980226,1963.89771,11966
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000193,East Staffordshire,1942,1097,3039,144,128,272,0.224098518,0.089503126,2005.751788,13561
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000194,Lichfield,1904,757,2661,126,75,201,0.239600216,0.075535513,1809.832523,11106
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000195,Newcastle-under-Lyme,3701,1055,4756,169,76,245,0.256084428,0.051513877,1319.190179,18572
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000196,South Staffordshire,1557,724,2281,100,80,180,0.177703334,0.078912758,1402.306014,12836
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000197,Stafford,2450,1048,3498,158,95,253,0.219585687,0.072327044,1588.198368,15930
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000198,Staffordshire Moorlands,1945,727,2672,108,74,182,0.259770562,0.068113772,1769.395295,10286
X25002,Midlands and East of England,X25002AE,West Midlands,E10000028,,E07000199,Tamworth,1476,679,2155,107,67,174,0.233174638,0.080742459,1882.70937,9242
X25002,Midlands and East of England,X25002AE,West Midlands,E10000031,Warwickshire,E07000218,North Warwickshire,594,467,1061,35,49,84,0.153768116,0.079170594,1217.391304,6900
X25002,Midlands and East of England,X25002AE,West Midlands,E10000031,,E07000219,Nuneaton and Bedworth,1713,1425,3138,147,189,336,0.208338866,0.10707457,2230.779445,15062
X25002,Midlands and East of England,X25002AE,West Midlands,E10000031,,E07000220,Rugby,700,1091,1791,54,126,180,0.162818182,0.100502513,1636.363636,11000
X25002,Midlands and East of England,X25002AE,West Midlands,E10000031,,E07000221,Stratford-on-Avon,846,885,1731,76,117,193,0.149069928,0.111496245,1662.073717,11612
X25002,Midlands and East of England,X25002AE,West Midlands,E10000031,,E07000222,Warwick,1237,1475,2712,98,131,229,0.132758958,0.084439528,1121.010378,20428
X25002,Midlands and East of England,X25002AE,West Midlands,E10000034,Worcestershire,E07000234,Bromsgrove,994,646,1640,73,66,139,0.156130998,0.084756098,1323.305407,10504
X25002,Midlands and East of England,X25002AE,West Midlands,E10000034,,E07000235,Malvern Hills,751,402,1153,58,30,88,0.141942632,0.076322637,1083.343592,8123
X25002,Midlands and East of England,X25002AE,West Midlands,E10000034,,E07000236,Redditch,1149,773,1922,91,73,164,0.193243515,0.085327784,1648.904082,9946
X25002,Midlands and East of England,X25002AE,West Midlands,E10000034,,E07000237,Worcester,1658,978,2636,145,105,250,0.176109033,0.094840668,1670.229824,14968
X25002,Midlands and East of England,X25002AE,West Midlands,E10000034,,E07000238,Wychavon,1777,693,2470,161,67,228,0.202210397,0.092307692,1866.557511,12215
X25002,Midlands and East of England,X25002AE,West Midlands,E10000034,,E07000239,Wyre Forest,1770,312,2082,166,29,195,0.198266832,0.093659942,1856.966003,10501
X25002,Midlands and East of England,X25002AF,East Midlands,E06000015,Derby,E06000015,Derby,5255,3235,8490,333,397,730,0.233845645,0.08598351,2010.686939,36306
X25002,Midlands and East of England,X25002AF,East Midlands,E06000016,Leicester,E06000016,Leicester,8222,3423,11645,585,463,1048,0.195248315,0.089995706,1757.151001,59642
X25002,Midlands and East of England,X25002AF,East Midlands,E06000017,Rutland,E06000017,Rutland,643,203,846,43,23,66,0.178217822,0.078014184,1390.351801,4747
X25002,Midlands and East of England,X25002AF,East Midlands,E06000018,Nottingham,E06000018,Nottingham,18309,4137,22446,1496,530,2026,0.310985494,0.090261071,2806.988376,72177
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,Derbyshire,E07000032,Amber Valley,3825,756,4581,190,106,296,0.334013853,0.064614713,2158.220926,13715
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000033,Bolsover,2087,500,2587,126,79,205,0.284786438,0.079242366,2256.715103,9084
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000034,Chesterfield,5549,541,6090,318,60,378,0.492957746,0.062068966,3059.737737,12354
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000035,Derbyshire Dales,1695,293,1988,85,32,117,0.2759195,0.058853119,1623.872311,7205
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000036,Erewash,2838,695,3533,193,93,286,0.264485701,0.080951033,2141.039078,13358
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000037,High Peak,3031,526,3557,166,55,221,0.326900101,0.062131009,2031.063321,10881
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000038,North East Derbyshire,2792,551,3343,128,54,182,0.310832171,0.054442118,1692.236169,10755
X25002,Midlands and East of England,X25002AF,East Midlands,E10000007,,E07000039,South Derbyshire,1694,814,2508,84,83,167,0.227875704,0.066586922,1517.35417,11006
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,Leicestershire,E07000129,Blaby,1702,694,2396,137,59,196,0.220240831,0.081803005,1801.63618,10879
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,,E07000130,Charnwood,5529,2134,7663,307,205,512,0.261848625,0.066814563,1749.530155,29265
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,,E07000131,Harborough,1098,546,1644,65,43,108,0.176527435,0.065693431,1159.66928,9313
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,,E07000132,Hinckley and Bosworth,1318,721,2039,94,82,176,0.180842572,0.086316822,1560.97561,11275
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,,E07000133,Melton,1067,155,1222,78,14,92,0.219586703,0.075286416,1653.189578,5565
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,,E07000134,North West Leicestershire,1587,695,2282,114,70,184,0.214554344,0.080631025,1729.973674,10636
X25002,Midlands and East of England,X25002AF,East Midlands,E10000018,,E07000135,Oadby and Wigston,1063,455,1518,57,48,105,0.189418518,0.06916996,1310.207138,8014
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,Lincolnshire,E07000136,Boston,722,423,1145,47,35,82,0.155443932,0.071615721,1113.222916,7366
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,,E07000137,East Lindsey,2176,388,2564,190,46,236,0.18814206,0.092043682,1731.728794,13628
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,,E07000138,Lincoln,9168,1523,10691,558,186,744,0.557025999,0.069591245,3876.413276,19193
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,,E07000139,North Kesteven,1079,696,1775,65,101,166,0.154280748,0.093521127,1442.850934,11505
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,,E07000140,South Holland,1321,211,1532,104,19,123,0.164095973,0.080287206,1317.48072,9336
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,,E07000141,South Kesteven,1672,1064,2736,121,147,268,0.188585608,0.097953216,1847.256686,14508
X25002,Midlands and East of England,X25002AF,East Midlands,E10000019,,E07000142,West Lindsey,1008,483,1491,66,65,131,0.1487727,0.087860496,1307.124326,10022
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,Northamptonshire,E07000150,Corby,977,442,1419,84,82,166,0.185854617,0.116983791,2174.197773,7635
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,,E07000151,Daventry,1234,612,1846,76,58,134,0.21817752,0.072589382,1583.737147,8461
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,,E07000152,East Northamptonshire,1149,590,1739,58,69,127,0.176943427,0.073030477,1292.226292,9828
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,,E07000153,Kettering,2947,1028,3975,255,139,394,0.377708096,0.099119497,3743.823641,10524
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,,E07000154,Northampton,4614,2319,6933,375,322,697,0.247412747,0.10053368,2487.331382,28022
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,,E07000155,South Northamptonshire,963,517,1480,49,45,94,0.164407909,0.063513514,1044.212397,9002
X25002,Midlands and East of England,X25002AF,East Midlands,E10000021,,E07000156,Wellingborough,1087,640,1727,89,115,204,0.211486652,0.118123914,2498.163115,8166
X25002,Midlands and East of England,X25002AF,East Midlands,E10000024,Nottinghamshire,E07000170,Ashfield,1409,1258,2667,102,235,337,0.184223251,0.126359205,2327.830352,14477
X25002,Midlands and East of England,X25002AF,East Midlands,E10000024,,E07000171,Bassetlaw,1200,1356,2556,84,174,258,0.194092186,0.100938967,1959.14648,13169
