LA Code,LA Name,CTADFemaletests1634years,CTADMaletests1634years,CTADFemalepositivity1634years,CTADMalepositivity1634years,CTADFemaleCases1634years,CTADMaleCases1634years,GUMtests_Female1634years,GUMtests_Male1634years,GUMpositivity_Female1634years,GUMpositivity_Male1634years,GUMCases_Female1634years,GUMCases_Male1634years,Males16_34ONS2012,Females16_34ONS2012,Males_1634TestCoverage,Females_1634TestCoverage,Males_1634TestDiagnosis,Females_1634TestDiagnosis,Combined Coverage,COMBINED MALES AND FEMALES 1634 Diagnosis
E06000001,Hartlepool UA,2783,1864,0.054617319,0.066523605,152,124,1369,813,0.082542001,0.099630996,113,81,10694,11087,0.250327286,0.374492649,0.019169628,0.023901867,0.313530141,0.02157844
E06000002,Middlesbrough UA,5504,3352,0.066133721,0.084427208,364,283,1480,1322,0.107432432,0.127836611,159,169,19550,18875,0.239079284,0.370013245,0.023120205,0.027708609,0.303396226,0.025374105
E06000003,Redcar and Cleveland UA,3934,2039,0.059735638,0.070132418,235,143,1208,879,0.110927152,0.128555176,134,113,14734,15048,0.198045337,0.341706539,0.017374779,0.024521531,0.270633268,0.02098583
E06000004,Stockton-on-Tees UA,5035,3861,0.067527309,0.073556074,340,284,1926,1531,0.1105919,0.115610712,213,177,23958,23427,0.225060523,0.297135783,0.019242007,0.023605242,0.260694313,0.021399177
E06000005,Darlington UA,2707,700,0.032877724,0.038571429,89,27,1046,909,0.073613767,0.101210121,77,92,11734,12084,0.137122891,0.310575968,0.010141469,0.013737173,0.225123856,0.01196574
E06000006,Halton UA,3592,1810,0.06876392,0.056353591,247,102,831,909,0.08543923,0.099009901,71,90,14831,15084,0.18333221,0.293224609,0.012945857,0.021081941,0.238743105,0.017048304
E06000007,Warrington UA,7041,4700,0.067888084,0.078085106,478,367,1498,1407,0.089452603,0.10732054,134,151,23885,23031,0.255683483,0.370761148,0.021687251,0.02657288,0.312174951,0.0240856
E06000008,Blackburn with Darwen UA,4435,1198,0.06313416,0.095158598,280,114,846,875,0.06855792,0.105142857,58,92,19258,19174,0.107643577,0.275425055,0.010696853,0.017628038,0.191350958,0.014154871
E06000009,Blackpool UA,4422,2622,0.069199457,0.11136537,306,292,2165,1744,0.105773672,0.122133028,229,213,15866,16076,0.275179629,0.409741229,0.031829068,0.033279423,0.342902761,0.032559013
E06000010,"Kingston upon Hull, City of UA",10922,5113,0.054934994,0.07353804,600,376,1554,1201,0.087516088,0.087427144,136,105,38991,37375,0.161934805,0.33380602,0.01233618,0.019692308,0.246051908,0.015936411
E06000011,East Riding of Yorkshire UA,4242,606,0.038189533,0.077557756,162,47,1131,999,0.083996463,0.099099099,95,99,32306,31092,0.049681174,0.172809726,0.004519284,0.008265792,0.110066564,0.006356667
E06000012,North East Lincolnshire UA,7032,1460,0.048919226,0.115068493,344,168,1696,1164,0.093160377,0.10652921,158,124,18770,18758,0.139797549,0.465294808,0.015556739,0.026761915,0.302494138,0.021157536
E06000013,North Lincolnshire UA,3052,232,0.0327654,0.077586207,100,18,1744,1192,0.066513761,0.101510067,116,121,18610,18332,0.076518001,0.261619027,0.007469103,0.011782675,0.168372043,0.009609658
E06000014,York UA,2811,521,0.046958378,0.067178503,132,35,2263,1656,0.067167477,0.089975845,152,149,29820,29853,0.073004695,0.169966168,0.006170355,0.009513282,0.121512242,0.007842743
E06000015,Derby UA,6117,1354,0.045120157,0.059084195,276,80,3382,2869,0.113542283,0.121993726,384,350,34705,34260,0.121682755,0.277262113,0.012390146,0.019264448,0.198970492,0.015805119
E06000016,Leicester UA,12243,4212,0.047047292,0.044159544,576,186,4137,3149,0.074691806,0.086376628,309,272,54678,55729,0.134624529,0.293922374,0.008376312,0.015880421,0.215031656,0.012164084
E06000017,Rutland UA,532,418,0.046992481,0.076555024,25,32,141,261,0.078014184,0.057471264,11,15,4157,3407,0.163338946,0.197534488,0.01130623,0.010566481,0.178741407,0.01097303
E06000018,Nottingham UA,17910,5240,0.064154104,0.075572519,1149,396,4777,3775,0.082687879,0.094569536,395,357,59917,56886,0.150458134,0.398815174,0.012567385,0.027142003,0.271414262,0.019665591
E06000019,"Herefordshire, County of UA",2729,383,0.050567974,0.07310705,138,28,1782,1344,0.090347924,0.102678571,161,138,19483,18241,0.08864138,0.247300038,0.008520248,0.016391645,0.165358923,0.01232637
E06000020,Telford and Wrekin UA,4489,895,0.041657385,0.075977654,187,68,1083,796,0.065558633,0.101758794,71,81,21077,20313,0.080229634,0.274307094,0.007069317,0.012701226,0.175477168,0.009833293
E06000021,Stoke-on-Trent UA,8202,3158,0.048158986,0.055098163,395,174,1629,1392,0.066912216,0.08045977,109,112,33674,33025,0.135119083,0.297683573,0.0084932,0.015261166,0.215610429,0.011844256
E06000022,Bath and North East Somerset UA,4042,723,0.041563582,0.069156293,168,50,1023,990,0.064516129,0.075757576,66,75,24381,23600,0.070259628,0.214618644,0.005126943,0.009915254,0.14126425,0.007482128
E06000023,"Bristol, City of UA",31312,8616,0.050076648,0.07137883,1568,615,4047,4000,0.058067704,0.07325,235,293,73603,71589,0.171406057,0.493916663,0.012336454,0.025185434,0.330424541,0.018671828
E06000024,North Somerset UA,2774,405,0.038932949,0.059259259,108,24,3177,1530,0.072395342,0.096732026,230,148,19690,19884,0.098273235,0.299285858,0.008735399,0.016998592,0.199272249,0.012887249
E06000025,South Gloucestershire UA,4381,819,0.043597352,0.067155067,191,55,737,877,0.074626866,0.06613455,55,58,31634,30373,0.053613201,0.168504922,0.003572106,0.008099299,0.109890819,0.005789669
E06000026,Plymouth UA,6558,1919,0.05946935,0.103699844,390,199,4617,3085,0.07299112,0.107941653,337,333,38583,36062,0.129694425,0.309882979,0.013788456,0.020159725,0.216745931,0.016866501
E06000027,Torbay UA,2676,628,0.064648729,0.128980892,173,81,1629,1175,0.123388582,0.136170213,201,160,12856,12890,0.1402458,0.333979829,0.018746111,0.02901474,0.237240736,0.023887206
E06000028,Bournemouth UA,6218,2460,0.048247025,0.067886179,300,167,2704,2091,0.06545858,0.090865615,177,190,28905,27853,0.157446809,0.320324561,0.012350804,0.017125624,0.237376229,0.014693964
