Name,Region,District Code,Total Population1,Major Urban Population,Large Urban Population,Other Urban Population,Total  Urban Population (excluding Large Market Town population)2,Large Market Town Population,Rural Town Population,Rural Town Population (including Large Market Town population)2,Village Population,Dispersed Population,Total Rural Population (including Large Market Town population)2,Rural% (including Large Market Town population)2,Classification,Numerical classification
Adur,South East,45UB,"59,571", -   ,"59,116", -   ,"59,116", -   , -   , -   , -   ,455,455,0.76,LU,2
Allerdale,North West,16UB,"93,577", -   , -   , -   , -   ,"28,261","33,732","61,993","22,499","9,085","93,577",100,R80,6
Amber Valley,East Midlands,17UB,"116,484", -   ,"41,215","24,848","66,063","21,972","9,745","31,717","13,618","5,086","50,421",43.29,SR,4
Arun,South East,45UC,"140,841", -   ,"56,976","73,673","130,649", -   ,"3,467","3,467","4,641","2,084","10,192",7.24,LU,2
Ashfield,East Midlands,37UB,"111,295", -   ,"29,121","80,565","109,686", -   ,661,661, -   ,948,"1,609",1.45,OU,3
Ashford,South East,29UB,"102,553", -   , -   ,"58,765","58,765", -   ,"13,736","13,736","19,326","10,726","43,788",42.7,SR,4
Aylesbury Vale,South East,11UB,"165,699", -   , -   ,"68,917","68,917","12,467","35,194","47,661","40,733","8,388","96,782",58.41,R50,5
Babergh,East of England,42UB,"83,523", -   , -   ,"4,443","4,443","20,157","23,716","43,873","28,176","7,031","79,080",94.68,R80,6
Barking and Dagenham,London,00AB,"164,138","164,138", -   , -   ,"164,138", -   , -   , -   , -   , -   , -   ,0,MU,1
Barnet,London,00AC,"314,936","314,409", -   ,157,"314,566", -   , -   , -   , -   ,370,370,0.12,MU,1
Barnsley,Yorkshire and The Humber,00CC,"218,101", -   , -   ,"174,485","174,485", -   ,"28,391","28,391","11,666","3,559","43,616",20,OU,3
Barrow-in-Furness,North West,16UC,"71,908", -   , -   ,"57,211","57,211", -   ,"12,033","12,033","2,000",664,"14,697",20.44,OU,3
Basildon,East of England,22UB,"165,768", -   , -   ,"163,345","163,345", -   , -   , -   ,"1,297","1,126","2,423",1.46,OU,3
Basingstoke and Deane,South East,24UB,"152,546", -   , -   ,"109,577","109,577", -   ,"17,948","17,948","16,944","8,077","42,969",28.17,SR,4
Bassetlaw,East Midlands,37UC,"107,577", -   , -   ,"38,996","38,996","21,246","20,178","41,424","23,906","3,251","68,581",63.75,R50,5
Bath and North East Somerset,South West,00HA,"168,960", -   ,"1,290","90,121","91,411","35,624","18,814","54,438","17,449","5,662","77,549",45.9,SR,4
Bedford,East of England,00KB,"147,908", -   , -   ,"102,812","102,812", -   ,"21,136","21,136","20,222","3,738","45,096",30.49,SR,4
Bexley,London,00AD,"218,434","218,315", -   , -   ,"218,315", -   , -   , -   , -   ,119,119,0.05,MU,1
Birmingham,West Midlands,00CN,"977,364","977,031", -   , -   ,"977,031", -   , -   , -   , -   ,333,333,0.03,MU,1
Blaby,East Midlands,31UB,"90,341", -   ,"56,945","14,727","71,672", -   ,"14,876","14,876","2,774","1,019","18,669",20.67,LU,2
Blackburn with Darwen,North West,00EX,"137,460", -   , -   ,"130,550","130,550", -   ,"1,628","1,628","3,624","1,658","6,910",5.03,OU,3
Blackpool,North West,00EY,"142,116", -   ,"142,116", -   ,"142,116", -   , -   , -   , -   , -   , -   ,0,LU,2
Bolsover,East Midlands,17UC,"71,762", -   , -   ,"37,947","37,947", -   ,"25,767","25,767","5,795","2,253","33,815",47.12,SR,4
Bolton,North West,00BL,"261,087","229,502", -   ,"21,932","251,434", -   ,"4,784","4,784","3,067","1,802","9,653",3.7,MU,1
Boston,East Midlands,32UB,"55,626", -   , -   ,"34,933","34,933", -   ,"5,379","5,379","8,461","6,853","20,693",37.2,SR,4
Bournemouth,South West,00HN,"163,431", -   ,"163,201", -   ,"163,201", -   ,119,119, -   ,111,230,0.14,LU,2
