LA Name,White,Mixed,Asian/Asian British,Black/Black British,Chinese,Other
Adur,89.89,1.63,2.45,1.14,0.33,4.56
Allerdale,95.65,0.74,1.17,0.32,0.21,1.91
Alnwick,95.71,0.61,0.61,0.31,0.31,2.45
Amber Valley,94.3,0.91,1.49,0.66,0.25,2.39
Arun,90.33,1.2,2.4,1.07,0.33,4.67
Ashfield,95.36,0.95,1.03,0.6,0.26,1.8
Ashford,89.48,1.58,2.37,1.75,0.44,4.38
Aylesbury Vale,85.36,1.9,4.73,2.19,0.69,5.13
Babergh,92.42,1.17,1.4,1.05,0.35,3.61
Barking and Dagenham,67.54,3.25,10.71,9.51,1.82,7.17
Barnet,59.46,3.53,13.67,7.08,1.98,14.28
Barnsley,95.1,0.75,1.41,0.62,0.22,1.9
Barrow-in-Furness,95.91,0.56,0.85,0.28,0.14,2.26
Basildon,86.62,1.55,3.39,1.9,2.18,4.36
Basingstoke and Deane,88.36,1.59,2.57,1.41,0.98,5.09
Bassetlaw,94.35,0.9,1.61,0.63,0.27,2.24
Bath and North East Somerset UA,88.07,1.69,3.04,1.52,0.45,5.23
Bedford,77.47,2.34,9.05,3.35,0.51,7.28
Bedford UA,77.47,2.34,9.05,3.35,0.51,7.28
Berwick-upon-Tweed,95.4,0,0.77,0.77,0.38,2.68
Bexley,80.17,2.17,5.09,5.71,1.15,5.71
Birmingham,63.26,3.25,19.61,6.57,1.11,6.2
Blaby,86.43,1.5,7.26,1.18,0.53,3.1
Blackburn with Darwen UA,74.55,1.36,19.94,1,0.57,2.58
Blackpool UA,92.14,1.07,2.21,0.71,0.36,3.51
Blaenau Gwent,96.5,0.58,0.73,0.44,0.15,1.6
Blyth Valley,96.3,0.62,1.11,0.37,0.25,1.35
Bolsover,95.55,0.81,1.21,0.54,0.27,1.62
Bolton,84.42,1.43,9.58,1.24,0.53,2.8
Boston,91.53,1.36,2.37,0.51,0.34,3.89
Bournemouth UA,86.72,1.64,3.7,1.39,1.09,5.46
Bracknell Forest UA,83.67,1.82,4.34,2.35,1.22,6.6
Bradford,71.21,2.27,19.83,2.01,0.47,4.21
Braintree,91.1,1.33,1.61,1.47,0.42,4.07
Breckland,90.45,1.15,1.39,1,1.85,4.16
Brent,38.08,3.95,24.42,16.09,1.76,15.7
Brentwood,84.82,1.63,4.34,2.03,0.54,6.64
Bridgend,94.63,0.82,1.19,0.37,0.3,2.69
Bridgnorth,94.26,0.76,1.53,0.76,0.19,2.5
Brighton and Hove UA,81.19,2.34,4.84,2.3,0.94,8.39
"Bristol, City of UA",80.6,2.45,5.15,3.28,1.5,7.02
