Code,Name, ALL AGES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,both_popsize_15-19,both_popsize_20-24,both_popsize_all
K04000001,England and Wales,56567796,0.012940154,0.01273905,0.01255543,0.012396965,0.012535171,0.01213657,0.011897653,0.011391994,0.011186489,0.010860755,0.010665185,0.010951532,0.01124426,0.01159384,0.011744986,0.012079788,0.012079099,0.012094337,0.012571428,0.012741189,0.013261945,0.013693533,0.013588085,0.013555964,0.013743367,0.013469678,0.013655013,0.013754239,0.013473055,0.013631272,0.013639121,0.013785671,0.013836,0.013269741,0.012378545,0.012194907,0.012399263,0.012650572,0.012878211,0.013448977,0.014025666,0.014490577,0.014142481,0.014493777,0.014473341,0.014698858,0.014704444,0.014794089,0.014670043,0.014360079,0.014065052,0.013583736,0.013046345,0.012764453,0.012487034,0.012035876,0.011622284,0.01121815,0.011279121,0.011157426,0.01086224,0.010953388,0.011208321,0.01151132,0.012181701,0.013227173,0.010219277,0.00994801,0.009923544,0.009243157,0.008277271,0.007467659,0.007759132,0.007700583,0.007498666,0.007128031,0.006785981,0.006459064,0.005992332,0.005711288,0.005549695,0.005280619,0.00491131,0.004439752,0.003998636,0.003653722,0.003305962,0.002921645,0.002579277,0.002246243,0.008229134,0.061565842,0.067842894,0.129408736
E92000001,England,53493729,0.013019115,0.012787032,0.012606824,0.012445272,0.012576409,0.012178493,0.011934464,0.011421058,0.011220717,0.010889071,0.010681121,0.010958649,0.011251244,0.01159534,0.011742124,0.012065283,0.012082108,0.01209052,0.012541564,0.012654007,0.013182162,0.013624102,0.013557552,0.013555084,0.013781578,0.013528221,0.013735573,0.013842221,0.013571853,0.01373346,0.013751761,0.013887983,0.01393483,0.013375998,0.012481949,0.012286823,0.012495278,0.012736652,0.012957145,0.01351951,0.014080847,0.014534171,0.014188579,0.014521534,0.014509757,0.014725221,0.014735877,0.014807418,0.014672299,0.014368862,0.014059461,0.013573367,0.01302977,0.012743251,0.012462078,0.012002248,0.011590854,0.011179479,0.011220455,0.01109158,0.010795135,0.010881818,0.011126239,0.01142848,0.012090707,0.013147691,0.010156742,0.009874391,0.009849323,0.009165953,0.00819296,0.007385221,0.007699426,0.007644971,0.007445153,0.007083167,0.006740603,0.006413556,0.005949052,0.005669506,0.005521301,0.005257513,0.004889713,0.004419359,0.003978896,0.003633809,0.003285824,0.002904266,0.002565385,0.002237197,0.00818939,0.061433481,0.067700478,0.129133959
W92000004,Wales,3074067,0.011566111,0.0119041,0.011661099,0.011556352,0.011817569,0.011407038,0.011257074,0.01088623,0.010590856,0.010368024,0.010387867,0.010827676,0.011122724,0.011567737,0.011794798,0.012332197,0.012026739,0.012160763,0.013091127,0.01425831,0.014650299,0.014901757,0.014119406,0.013571272,0.01307844,0.012450932,0.012253149,0.012223221,0.01175381,0.011853027,0.011678991,0.012005269,0.012116197,0.011420701,0.010579145,0.01059541,0.010728458,0.011152652,0.011504629,0.012221594,0.013065428,0.013731971,0.013340308,0.014010755,0.013839646,0.014240093,0.014157466,0.014562142,0.014630781,0.014207238,0.014162346,0.013764176,0.013334778,0.013133416,0.012921319,0.012621065,0.012169221,0.011891088,0.012299992,0.012303245,0.012029992,0.012198823,0.01263668,0.012952873,0.013765152,0.014610287,0.011307496,0.011229098,0.01121511,0.010586627,0.00974442,0.008902213,0.008798117,0.008668321,0.008429875,0.007908741,0.007575632,0.007250981,0.006745461,0.006438376,0.006043785,0.0056827,0.005287133,0.004794625,0.00434213,0.004000238,0.003656394,0.003224068,0.002821019,0.002403656,0.008920755,0.063869135,0.070321174,0.134190309
E12000001,North East,2602310,0.011742644,0.011825647,0.011696147,0.011423697,0.011655798,0.011236555,0.011317637,0.010705104,0.010484531,0.010242823,0.010043769,0.010340428,0.0107443,0.011094374,0.011409479,0.011844477,0.011929401,0.01201202,0.012652221,0.014346869,0.015557716,0.015374033,0.014241962,0.013509536,0.013382725,0.012845895,0.013049944,0.012848585,0.012259108,0.012325972,0.012174184,0.012362478,0.012500432,0.011944388,0.010781191,0.010423431,0.011068627,0.011255769,0.011450212,0.012250654,0.013281661,0.014066733,0.013580242,0.013781602,0.014073266,0.014498273,0.014819526,0.015156534,0.015053933,0.015098124,0.01491252,0.014308826,0.013959905,0.014059432,0.013984114,0.013376193,0.012820148,0.012337884,0.01238784,0.012244122,0.01182949,0.012009714,0.012251807,0.012507734,0.013162152,0.014276547,0.010844596,0.010546783,0.010244744,0.009262924,0.008618497,0.008050155,0.008457486,0.008498603,0.008385242,0.007882996,0.007300821,0.007147112,0.00658684,0.006261744,0.006003512,0.005713001,0.005180013,0.004622047,0.004057165,0.003704785,0.00340582,0.002918561,0.002509693,0.002099289,0.007504486,0.062784987,0.072065972,0.134850959
E12000002,North West,7084337,0.012657077,0.012473856,0.012307574,0.012168817,0.012385351,0.012012557,0.011867589,0.011389351,0.011100968,0.010771086,0.010698249,0.010939203,0.011233938,0.011679145,0.011800257,0.012370953,0.012280895,0.012267485,0.012758569,0.013153948,0.014037729,0.01442365,0.014140067,0.013784494,0.013734807,0.013174133,0.013387844,0.013422569,0.013023802,0.013035235,0.012893373,0.012874317,0.012936285,0.012297834,0.011446802,0.011224762,0.011607296,0.01194946,0.012232055,0.012980184,0.013817101,0.014434378,0.014109013,0.014606307,0.014489288,0.014721349,0.014638914,0.014969785,0.014863353,0.014605883,0.014533047,0.013965456,0.013364271,0.013088028,0.012802045,0.012465669,0.011954824,0.011451177,0.011513145,0.01152839,0.011143597,0.011386387,0.011604756,0.011905137,0.01265863,0.013738195,0.010266451,0.009943485,0.010065162,0.009444638,0.008578079,0.007958825,0.008115791,0.007986351,0.007797766,0.007320375,0.007041732,0.006589749,0.006076504,0.005724601,0.005574975,0.005292097,0.004896436,0.004385732,0.00392655,0.003584669,0.003208063,0.002786852,0.002438196,0.002110995,0.00760424,0.06283185,0.070120747,0.132952597
E12000003,Yorkshire and The Humber,5316691,0.012786148,0.012481636,0.012560632,0.012462075,0.012438,0.012108283,0.011988472,0.011476123,0.011246469,0.010860703,0.010770985,0.010889668,0.011175748,0.011611922,0.011735119,0.012040196,0.012304834,0.012138189,0.012893546,0.014726641,0.015647138,0.015593534,0.014664949,0.013830971,0.013853354,0.013234924,0.013303952,0.013233043,0.012882449,0.012835239,0.012827339,0.012844643,0.012931163,0.012311229,0.011329227,0.01115694,0.011654994,0.011930729,0.012240508,0.01307505,0.013783009,0.014502441,0.014137553,0.014347646,0.014377176,0.014471595,0.014433414,0.01448683,0.01452915,0.014279558,0.014056111,0.013618997,0.013238874,0.012858938,0.012777684,0.012285085,0.011947845,0.011323396,0.011528787,0.011361954,0.011033366,0.011248162,0.011436437,0.011734743,0.01246151,0.013578559,0.010285345,0.010107791,0.009938513,0.00918372,0.008227298,0.007586674,0.007954196,0.007884415,0.007774384,0.007390311,0.007009435,0.006651318,0.006189,0.005792889,0.005506244,0.005262672,0.004847,0.004391829,0.003958477,0.003641551,0.003263684,0.002820739,0.002509832,0.002132718,0.007774384,0.064103406,0.073589945,0.137693351
E12000004,East Midlands,4567731,0.012226858,0.012145199,0.011976625,0.011888835,0.012147607,0.011735805,0.011609265,0.011047717,0.011009405,0.010647956,0.010515068,0.010863381,0.011262704,0.011803891,0.01182053,0.012152861,0.012221604,0.012353179,0.013007114,0.014049864,0.014581638,0.014628926,0.013940838,0.013027256,0.012723385,0.012179132,0.012275241,0.012278087,0.012049309,0.012139288,0.01200202,0.012366096,0.012506866,0.01195714,0.011108798,0.011050344,0.011530232,0.011963927,0.012421047,0.013225823,0.014026001,0.01462608,0.014131086,0.014899739,0.01476072,0.015006138,0.015062621,0.015249803,0.015041385,0.014819831,0.014421602,0.014015493,0.01346927,0.0131203,0.012849706,0.012330411,0.011976187,0.01163269,0.011920142,0.01179404,0.011601603,0.011737118,0.012066604,0.012300856,0.013119643,0.014152322,0.010917018,0.010760047,0.010927088,0.009936662,0.008685494,0.007843719,0.008050387,0.008084758,0.007749143,0.007314135,0.006917001,0.006575037,0.006134556,0.005807698,0.005701518,0.005370281,0.004956071,0.004496762,0.004102037,0.003744529,0.003372353,0.002992733,0.002614427,0.002280563,0.008093734,0.063784623,0.068902043,0.132686667
E12000005,West Midlands,5642569,0.013083579,0.012837415,0.01261553,0.01268323,0.012817211,0.012408001,0.012259841,0.011954129,0.011711155,0.011337212,0.011150949,0.011407393,0.011765031,0.012014031,0.012368302,0.01275217,0.01266409,0.012684116,0.013192572,0.013138873,0.013769437,0.014205763,0.013916711,0.01359753,0.013435901,0.01313976,0.013129481,0.013106973,0.012700243,0.012907064,0.0127247,0.012812781,0.013013753,0.012317971,0.011484485,0.011337566,0.011760246,0.011952003,0.012430508,0.013087124,0.013802047,0.014375899,0.014147279,0.014454055,0.014410989,0.014488259,0.01454692,0.014549933,0.014365974,0.014108644,0.014043958,0.01341428,0.012616416,0.012461345,0.012207206,0.011785944,0.01144904,0.011209788,0.011387544,0.011349263,0.010946432,0.010973193,0.011271993,0.011583022,0.012015803,0.012796299,0.010222826,0.010352022,0.010586313,0.009785614,0.0087228,0.007846603,0.008046512,0.007953469,0.00777465,0.007446785,0.006990433,0.006563145,0.006028814,0.005812069,0.005700595,0.005414378,0.004998964,0.004495116,0.004055599,0.00369672,0.003339436,0.002907186,0.002574005,0.002230544,0.008019042,0.064431822,0.068925342,0.133357164
E12000006,East,5907348,0.012602271,0.01259787,0.012544715,0.01244941,0.012565706,0.012082579,0.011840677,0.011396315,0.01137397,0.010927238,0.010823639,0.011156444,0.011413751,0.011785661,0.011952233,0.012236117,0.01234124,0.012321434,0.012550302,0.011051321,0.010938072,0.011608255,0.0119177,0.012411661,0.012738373,0.012455166,0.012400658,0.012370356,0.012160448,0.012291133,0.012667952,0.01287549,0.013011761,0.012698592,0.01192718,0.011938521,0.012212248,0.012701639,0.012952851,0.013502167,0.014076029,0.014585394,0.014253096,0.01470406,0.01473233,0.014980326,0.01510644,0.01510644,0.014907028,0.014612141,0.014295586,0.013823293,0.013151248,0.012930506,0.012682002,0.012220712,0.011870132,0.011487388,0.011615195,0.011422215,0.011241931,0.011281035,0.011622644,0.012046184,0.012957083,0.014511927,0.011006462,0.010568533,0.010531799,0.009830299,0.008651767,0.007616954,0.00803457,0.008067749,0.007904562,0.007578866,0.00722016,0.006951173,0.006459074,0.006131685,0.006025377,0.005717286,0.005348085,0.004882732,0.004408577,0.00398893,0.003597723,0.003180954,0.002812937,0.002476746,0.008991514,0.060500414,0.05961406,0.120114474
E12000007,London,8308369,0.016134575,0.015036886,0.01446409,0.014030552,0.013974584,0.013429591,0.012842834,0.012136558,0.011566891,0.011249621,0.010765771,0.010910324,0.010949441,0.010980856,0.011014918,0.011178969,0.011189561,0.011163322,0.011335799,0.011059692,0.011747191,0.013036494,0.014441824,0.016228456,0.017971397,0.018743631,0.019868641,0.020545789,0.020462259,0.020835136,0.020802278,0.020751004,0.020286533,0.019429084,0.018057335,0.017337458,0.016675716,0.016182478,0.015663483,0.015451408,0.01529506,0.015025332,0.014665213,0.0145008,0.014329648,0.014229508,0.014098555,0.013845798,0.013565839,0.013087527,0.012490418,0.012070841,0.011654634,0.011093995,0.010596183,0.010081882,0.009744993,0.009213601,0.008847826,0.008533564,0.008252643,0.008025402,0.007986405,0.007938381,0.008066204,0.008457376,0.00684659,0.006394757,0.006282942,0.005933174,0.005402023,0.004915526,0.005280579,0.005191392,0.005010731,0.004770371,0.004615587,0.004341646,0.004061086,0.003869231,0.003720586,0.003537758,0.003350597,0.002964481,0.002658283,0.002376519,0.002175277,0.001954776,0.001737886,0.001486934,0.00549121,0.055927343,0.073425362,0.129352704
