,la_new_code,la_old_code,LA Name,Name,NtestMales1624_butnnng,NtestFemales1624_butnnng,ALL.AGES,X16_24males,X16_24females,MALES_1624_Coverage,FEMALES_1624_Coverage,Combined Coverage
1,E06000001,00EB,Hartlepool,HARTLEPOOL UA,1248,2108,44760,5514,5451,0.226332971,0.386718033,0.306064751
2,E06000002,00EC,Middlesbrough,MIDDLESBROUGH UA,2001,3192,67691,10259,9561,0.19504825,0.333856291,0.262008073
3,E06000003,00EE,Redcar and Cleveland,REDCAR & CLEVELAND UA,1411,2719,65654,7704,7485,0.18315161,0.363259853,0.271907301
4,E06000004,00EF,Stockton-on-Tees,STOCKTON-ON-TEES UA,2525,3558,94169,11910,11096,0.212006717,0.320656092,0.264409285
5,E06000005,00EH,Darlington,DARLINGTON UA,2131,2723,51460,5606,5562,0.380128434,0.489572096,0.43463467
6,E06000006,00ET,Halton,HALTON UA,2368,3528,61322,7254,7191,0.326440585,0.490613267,0.408168917
7,E06000007,00EU,Warrington,WARRINGTON UA,4475,5332,100504,11439,10596,0.391205525,0.503208758,0.44506467
8,E06000008,00EX,Blackburn with Darwen,BLACKBURN WITH DARWEN UA,1140,2685,73622,8964,8745,0.127175368,0.30703259,0.215991869
9,E06000009,00EY,Blackpool,BLACKPOOL UA,2347,6032,69747,7701,7791,0.304765615,0.774226672,0.540859799
10,E06000010,00FA,"Kingston upon Hull, City of","KINGSTON UPON HULL, CITY OF UA",5682,9566,128333,19425,18502,0.292509653,0.517025186,0.402035489
11,E06000011,00FB,East Riding of Yorkshire,EAST RIDING OF YORKSHIRE UA,2448,5389,163618,16702,15427,0.146569273,0.349322616,0.243922936
12,E06000012,00FC,North East Lincolnshire,NORTH EAST LINCOLNSHIRE UA,1539,4379,78307,9430,9303,0.163202545,0.470708374,0.315913095
13,E06000013,00FD,North Lincolnshire,NORTH LINCOLNSHIRE UA,1381,3598,82603,8885,8655,0.155430501,0.41571346,0.28386545
14,E06000014,00FF,York,YORK UA,1954,5193,96261,15421,15886,0.12671033,0.326891603,0.228287603
15,E06000015,00FK,Derby,DERBY UA,3220,6745,123130,16951,16502,0.189959294,0.408738335,0.297880609
16,E06000016,00FN,Leicester,LEICESTER UA,5986,11517,163050,26594,28401,0.225088366,0.40551389,0.318265297
17,E06000017,00FP,Rutland,RUTLAND UA,245,542,19104,2270,1824,0.107929515,0.297149123,0.192232535
18,E06000018,00FY,Nottingham,NOTTINGHAM UA,6693,14291,153188,32267,32302,0.207425543,0.442418426,0.324985674
19,E06000019,00GA,"Herefordshire, County of","HEREFORDSHIRE, COUNTY OF UA",1189,2967,90361,9235,8712,0.128749323,0.340564738,0.231570736
20,E06000020,00GF,Telford and Wrekin,TELFORD AND WREKIN UA,1642,4850,82610,10262,9832,0.160007796,0.493287225,0.323081517
21,E06000021,00GL,Stoke-on-Trent,STOKE-ON-TRENT UA,4190,7508,123917,16108,15906,0.260119195,0.472023136,0.365402636
22,E06000022,00HA,Bath and North East Somerset,BATH & NORTH EAST SOMERSET UA,2406,5909,85945,13471,13346,0.178605894,0.442754383,0.310064511
23,E06000023,00HB,"Bristol, City of","BRISTOL, CITY OF UA",5536,17615,213365,32924,33087,0.168144818,0.53238432,0.350714275
24,E06000024,00HC,North Somerset,NORTH SOMERSET UA,1855,6503,98740,9400,9185,0.197340426,0.708002177,0.449717514
25,E06000025,00HD,South Gloucestershire,SOUTH GLOUCESTERSHIRE UA,2338,6181,130699,15470,14236,0.151131222,0.43418095,0.286777082
26,E06000026,00HG,Plymouth,PLYMOUTH UA,3622,8187,127218,20300,18599,0.178423645,0.440184956,0.303581069
27,E06000027,00HH,Torbay,TORBAY UA,1323,3136,63206,6541,6236,0.202262651,0.502886466,0.34898646
28,E06000028,00HN,Bournemouth,BOURNEMOUTH UA,3836,6008,91589,13156,13192,0.291577987,0.455427532,0.373614696
29,E06000029,00HP,Poole,POOLE UA,1650,2858,72445,7749,7360,0.212930701,0.388315217,0.298365213
30,E06000030,00HX,Swindon,SWINDON UA,1602,4183,104865,11356,11387,0.1410708,0.367348731,0.25436398
31,E06000031,00JA,Peterborough,PETERBOROUGH UA,1321,3471,91355,11051,10587,0.119536694,0.327854916,0.221462242
32,E06000032,00KA,Luton,LUTON UA,2833,5338,102318,13981,13370,0.202632144,0.399252057,0.298745933
33,E06000033,00KF,Southend-on-Sea,SOUTHEND-ON-SEA UA,1432,4106,85410,9074,8928,0.157813533,0.459901434,0.307632485
34,E06000034,00KG,Thurrock,THURROCK UA,1041,2339,78142,8872,8756,0.117335437,0.26713111,0.191740413
35,E06000035,00LC,Medway,MEDWAY UA,3235,6892,131368,17826,16946,0.181476495,0.406703647,0.291240078
36,E06000036,00MA,Bracknell Forest,BRACKNELL FOREST UA,1199,2137,56498,6439,5797,0.186209039,0.368638951,0.272638117
37,E06000037,00MB,West Berkshire,WEST BERKSHIRE UA,1068,2342,76427,7694,7330,0.138809462,0.319508868,0.226970181
38,E06000038,00MC,Reading,READING UA,2699,4167,77890,10990,11279,0.245586897,0.369447646,0.308320984
39,E06000039,00MD,Slough,SLOUGH UA,1357,2950,70427,8115,8088,0.167221195,0.364737883,0.265814973
40,E06000040,00ME,Windsor and Maidenhead,WINDSOR AND MAIDENHEAD UA,1272,2430,71708,7279,6478,0.174749279,0.375115776,0.269099368
41,E06000041,00MF,Wokingham,WOKINGHAM UA,1007,2329,76739,7831,7224,0.128591495,0.322397564,0.221587512
42,E06000042,00MG,Milton Keynes,MILTON KEYNES UA,3885,6679,123608,12904,12753,0.301069436,0.523719909,0.411739486
43,E06000043,00ML,Brighton and Hove,BRIGHTON AND HOVE UA,4593,11823,136201,21053,21731,0.218163682,0.544061479,0.383694839
44,E06000044,00MR,Portsmouth,PORTSMOUTH UA,7566,11655,103859,19341,16796,0.391189701,0.693915218,0.53189252
45,E06000045,00MS,Southampton,SOUTHAMPTON UA,7260,11594,119165,22501,21131,0.322652327,0.548672566,0.432114045
46,E06000046,00MW,Isle of Wight,ISLE OF WIGHT UA,1304,3409,67463,6929,6371,0.188194545,0.535080835,0.354360902
47,E06000047,00EJ,County Durham,COUNTY DURHAM UA,12082,17191,251168,31254,30672,0.386574518,0.560478612,0.472709363
48,E06000048,00EM,Northumberland,NORTHUMBERLAND UA,4475,8499,154234,15895,15206,0.281535074,0.558924109,0.417157005
49,E06000049,00EQ,Cheshire East,CHESHIRE EAST UA,2803,8081,181701,18894,17618,0.148353975,0.458678624,0.298093777
50,E06000050,00EW,Cheshire West and Chester,CHESHIRE WEST AND CHESTER UA,2748,7831,160603,17667,17997,0.155544235,0.435128077,0.296629655
51,E06000051,00GG,Shropshire,SHROPSHIRE UA,2211,5424,152235,17410,14771,0.126995979,0.367206012,0.237251795
52,E06000052,00HE,Cornwall,CORNWALL UA,3887,10296,258511,27486,26661,0.141417449,0.386182064,0.261935103
53,E06000054,00HY,Wiltshire,WILTSHIRE UA,3578,8107,234265,26063,22985,0.137282738,0.352708288,0.238236014
54,E06000055,00KB,Bedford,BEDFORD UA,2861,3805,77492,9051,8883,0.316097669,0.428346279,0.371696219
55,E06000056,00KC,Central Bedfordshire,CENTRAL BEDFORDSHIRE UA,2624,4405,126765,13687,12249,0.191714766,0.359621194,0.271013263
56,E07000004,11UB,Aylesbury Vale,AYLESBURY VALE,1522,2518,86593,8944,8556,0.170169946,0.2942964,0.230857143
57,E07000005,11UC,Chiltern,CHILTERN,295,876,45044,4092,4081,0.072091887,0.214653271,0.143276643
58,E07000006,11UE,South Bucks,SOUTH BUCKS,345,835,32547,3088,3131,0.111722798,0.266687959,0.189741116
59,E07000007,11UF,Wycombe,WYCOMBE,1186,2632,84808,9584,9496,0.123747913,0.277169334,0.200104822
60,E07000008,12UB,Cambridge,CAMBRIDGE,4095,7500,62636,13996,12365,0.292583595,0.606550748,0.43985433
61,E07000009,12UC,East Cambridgeshire,EAST CAMBRIDGESHIRE,823,1498,41662,3970,3723,0.207304786,0.402363685,0.301702847
62,E07000010,12UD,Fenland,FENLAND,755,2017,46941,4947,4843,0.152617748,0.41647739,0.283146067
63,E07000011,12UE,Huntingdonshire,HUNTINGDONSHIRE,1971,4584,84786,9256,8523,0.212942956,0.537838789,0.368693402
64,E07000012,12UG,South Cambridgeshire,SOUTH CAMBRIDGESHIRE,2800,2806,74475,7555,6729,0.370615486,0.41700104,0.392467096
65,E07000026,16UB,Allerdale,ALLERDALE,747,1810,47403,4835,4473,0.154498449,0.404650123,0.274709927
66,E07000027,16UC,Barrow-in-Furness,BARROW-IN-FURNESS,826,1469,34152,3893,3673,0.2121757,0.399945549,0.30333069
67,E07000028,16UD,Carlisle,CARLISLE,984,2706,52470,5874,6093,0.167517875,0.444116199,0.308347957
68,E07000029,16UE,Copeland,COPELAND,518,1059,35480,3773,3387,0.13729128,0.312666076,0.220251397
69,E07000030,16UF,Eden,EDEN,384,948,25971,2550,2242,0.150588235,0.422836753,0.277963272
70,E07000031,16UG,South Lakeland,SOUTH LAKELAND,734,1425,50600,4753,4115,0.154428782,0.346294046,0.24345963
71,E07000032,17UB,Amber Valley,AMBER VALLEY,1601,2847,60268,6195,5932,0.258434221,0.479939312,0.36678486
72,E07000033,17UC,Bolsover,BOLSOVER,1213,2068,37465,4127,3928,0.2939181,0.526476578,0.407324643
73,E07000034,17UD,Chesterfield,CHESTERFIELD,3396,4987,50887,5547,5543,0.612222823,0.899693307,0.755906222
74,E07000035,17UF,Derbyshire Dales,DERBYSHIRE DALES,902,1571,35057,3301,2943,0.27325053,0.533809038,0.396060218
75,E07000036,17UG,Erewash,EREWASH,1067,2772,54928,6115,6228,0.174488962,0.445086705,0.311026493
76,E07000037,17UH,High Peak,HIGH PEAK,1187,1998,44780,5044,4674,0.235329104,0.427471117,0.327742334
77,E07000038,17UJ,North East Derbyshire,NORTH EAST DERBYSHIRE,1885,3043,48567,5101,4665,0.369535385,0.652304394,0.504607823
78,E07000039,17UK,South Derbyshire,SOUTH DERBYSHIRE,1043,1917,47121,4937,4651,0.2112619,0.412169426,0.308719232
79,E07000040,18UB,East Devon,EAST DEVON,1379,2004,63955,6338,5361,0.217576523,0.373810856,0.289170015
80,E07000041,18UC,Exeter,EXETER,1660,4634,56988,10820,10971,0.153419593,0.422386291,0.28883484
81,E07000042,18UD,Mid Devon,MID DEVON,352,1254,38120,3689,3601,0.095418813,0.348236601,0.220301783
82,E07000043,18UE,North Devon,NORTH DEVON,482,1435,45791,5004,4369,0.096322942,0.328450446,0.204523632
83,E07000044,18UG,South Hams,SOUTH HAMS,500,886,40457,4135,3433,0.120918984,0.258083309,0.183139535
84,E07000045,18UH,Teignbridge,TEIGNBRIDGE,740,1467,60176,5868,5460,0.126107703,0.268681319,0.194826977
85,E07000046,18UK,Torridge,TORRIDGE,256,905,31260,3034,2875,0.08437706,0.314782609,0.196479946
86,E07000047,18UL,West Devon,WEST DEVON,211,606,26172,2480,2252,0.085080645,0.269094139,0.172654269
87,E07000048,19UC,Christchurch,CHRISTCHURCH,227,553,22932,2142,1942,0.105975724,0.284757981,0.190989226
88,E07000049,19UD,East Dorset,EAST DORSET,494,852,41977,3882,3524,0.127253993,0.241770715,0.181744531
89,E07000050,19UE,North Dorset,NORTH DORSET,1098,1046,34471,4060,3118,0.27044335,0.335471456,0.298690443
90,E07000051,19UG,Purbeck,PURBECK,488,550,22186,2351,1908,0.207571246,0.288259958,0.243719183
91,E07000052,19UH,West Dorset,WEST DORSET,734,1498,47716,4755,4182,0.154363828,0.358201817,0.249748238
