Code,Area,Region,LA,Population,Area ,Density
K02000001,UNITED KINGDOM,,,63182178,24251298,2.6
,,,,,,
K03000001,GREAT BRITAIN,,,61371315,22895065,2.7
,,,,,,
K04000001,ENGLAND AND WALES,,,56075912,15101354,3.7
,,,,,,
E92000001,ENGLAND,,,53012456,13027843,4.1
,,,,,,
E12000001,NORTH EAST,,,2596886,857317,3
, ,,,,,
E06000047,,County Durham UA,County Durham UA,513242,222606,2.3
E06000005,,Darlington UA,Darlington UA,105564,19748,5.3
E06000001,,Hartlepool UA,Hartlepool UA,92028,9386,9.8
E06000002,,Middlesbrough UA,Middlesbrough UA,138412,5387,25.7
E06000048,,Northumberland UA,Northumberland UA,316028,501302,0.6
E06000003,,Redcar and Cleveland UA,Redcar and Cleveland UA,135177,24490,5.5
E06000004,,Stockton-on-Tees UA,Stockton-on-Tees UA,191610,20393,9.4
,,,,,,
E11000004,,Tyne and Wear (Met County),,1104825,54005,20.5
E08000020,,,Gateshead,200214,14235,14.1
E08000021,,,Newcastle upon Tyne,280177,11344,24.7
E08000022,,,North Tyneside,200801,8239,24.4
E08000023,,,South Tyneside,148127,6441,23
E08000024,,,Sunderland,275506,13746,20
,,,,,,
E12000002,NORTH WEST ,,,7052177,1410535,5
,,,,,,
E06000008,,Blackburn with Darwen UA,Blackburn with Darwen UA,147489,13701,10.8
E06000009,,Blackpool UA,Blackpool UA,142065,3488,40.7
E06000049,,Cheshire East UA,Cheshire East UA,370127,116638,3.2
E06000050,,Cheshire West and Chester UA,Cheshire West and Chester UA,329608,91666,3.6
E06000006,,Halton UA,Halton UA,125746,7910,15.9
E06000007,,Warrington UA,Warrington UA,202228,18065,11.2
,,,,,,
E10000006,,Cumbria ,,499858,676656,0.7
E07000026,,,Allerdale,96422,124158,0.8
E07000027,,,Barrow-in-Furness,69087,7796,8.9
E07000028,,,Carlisle,107524,103930,1
E07000029,,,Copeland,70603,73174,1
E07000030,,,Eden,52564,214236,0.2
E07000031,,,South Lakeland,103658,153362,0.7
,,,,,,
E11000001,,Greater Manchester (Met County),,2682528,127603,21
E08000001,,,Bolton,276786,13980,19.8
E08000002,,,Bury,185060,9948,18.6
E08000003,,,Manchester,503127,11564,43.5
E08000004,,,Oldham,224897,14236,15.8
E08000005,,,Rochdale,211699,15808,13.4
E08000006,,,Salford,233933,9719,24.1
E08000007,,,Stockport,283275,12606,22.5
E08000008,,,Tameside,219324,10317,21.3
E08000009,,,Trafford,226578,10604,21.4
E08000010,,,Wigan,317849,18819,16.9
,,,,,,
E10000017,,Lancashire ,,1171339,290320,4
E07000117,,,Burnley,87059,11070,7.9
E07000118,,,Chorley,107155,20280,5.3
E07000119,,,Fylde,75757,16569,4.6
E07000120,,,Hyndburn,80734,7299,11.1
E07000121,,,Lancaster,138375,57586,2.4
E07000122,,,Pendle,89452,16936,5.3
E07000123,,,Preston,140202,14229,9.9
E07000124,,,Ribble Valley,57132,58316,1
E07000125,,,Rossendale,67982,13805,4.9
E07000126,,,South Ribble,109057,11296,9.7
E07000127,,,West Lancashire,110685,34679,3.2
E07000128,,,Wyre,107749,28255,3.8
,,,,,,
E11000002,,Merseyside (Met County),,1381189,64488,21.4
E08000011,,,Knowsley,145893,8647,16.9
E08000012,,,Liverpool,466415,11184,41.7
E08000014,,,Sefton,273790,15314,17.9
E08000013,,,St. Helens,175308,13638,12.9
E08000015,,,Wirral,319783,15705,20.4
,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,,,5283733,1540764,3.4
,,,,,,
E06000011,,East Riding of Yorkshire UA,East Riding of Yorkshire UA,334179,240768,1.4
E06000010,,"Kingston upon Hull, City of UA","Kingston upon Hull, City of UA",256406,7145,35.9
E06000012,,North East Lincolnshire UA,North East Lincolnshire UA,159616,19184,8.3
E06000013,,North Lincolnshire UA,North Lincolnshire UA,167446,84631,2
E06000014,,York UA,York UA,198051,27194,7.3
,,,,,,
E10000023,,North Yorkshire ,,598376,803761,0.7
E07000163,,,Craven,55409,117739,0.5
E07000164,,,Hambleton,89140,131117,0.7
E07000165,,,Harrogate,157869,130794,1.2
E07000166,,,Richmondshire,51965,131867,0.4
E07000167,,,Ryedale,51751,150659,0.3
E07000168,,,Scarborough,108793,81654,1.3
E07000169,,,Selby,83449,59931,1.4
,,,,,,
E11000003,,South Yorkshire (Met County),,1343601,155153,8.7
E08000016,,,Barnsley,231221,32905,7
E08000017,,,Doncaster,302402,56799,5.3
E08000018,,,Rotherham,257280,28654,9
E08000019,,,Sheffield,552698,36795,15
,,,,,,
E11000006,,West Yorkshire (Met County),,2226058,202927,11
E08000032,,,Bradford,522452,36642,14.3
E08000033,,,Calderdale,203826,36392,5.6
E08000034,,,Kirklees,422458,40860,10.3
E08000035,,,Leeds,751485,55172,13.6
E08000036,,,Wakefield,325837,33861,9.6
,,,,,,
E12000004,EAST MIDLANDS,,,4533222,1560642,2.9
,,,,,,
E06000015,,Derby UA,Derby UA,248752,7803,31.9
E06000016,,Leicester UA,Leicester UA,329839,7331,45
E06000018,,Nottingham UA,Nottingham UA,305680,7461,41
E06000017,,Rutland UA,Rutland UA,37369,38152,1
,,,,,,
E10000007,,Derbyshire ,,769686,254670,3
E07000032,,,Amber Valley,122309,26538,4.6
E07000033,,,Bolsover,75866,16033,4.7
E07000034,,,Chesterfield,103788,6604,15.7
E07000035,,,Derbyshire Dales,71116,79245,0.9
E07000036,,,Erewash,112081,10963,10.2
E07000037,,,High Peak,90892,53915,1.7
E07000038,,,North East Derbyshire,99023,27560,3.6
E07000039,,,South Derbyshire,94611,33812,2.8
,,,,,,
E10000018,,Leicestershire ,,650489,208288,3.1
E07000129,,,Blaby,93915,13047,7.2
E07000130,,,Charnwood,166100,27906,6
E07000131,,,Harborough,85382,59178,1.4
E07000132,,,Hinckley and Bosworth,105078,29735,3.5
E07000133,,,Melton,50376,48138,1
E07000134,,,North West Leicestershire,93468,27933,3.3
E07000135,,,Oadby and Wigston,56170,2352,23.9
,,,,,,
E10000019,,Lincolnshire,,713653,592062,1.2
E07000136,,,Boston,64637,36154,1.8
E07000137,,,East Lindsey,136401,176026,0.8
E07000138,,,Lincoln,93541,3569,26.2
E07000139,,,North Kesteven,107766,92244,1.2
E07000140,,,South Holland,88270,74238,1.2
E07000141,,,South Kesteven,133788,94259,1.4
E07000142,,,West Lindsey,89250,115572,0.8
,,,,,,
E10000021,,Northamptonshire,,691952,236397,2.9
E07000150,,,Corby,61255,8028,7.6
E07000151,,,Daventry,77843,66259,1.2
E07000152,,,East Northamptonshire,86765,50979,1.7
E07000153,,,Kettering,93475,23349,4
E07000154,,,Northampton,212069,8076,26.3
E07000155,,,South Northamptonshire,85189,63402,1.3
E07000156,,,Wellingborough,75356,16304,4.6
,,,,,,
E10000024,,Nottinghamshire ,,785802,208477,3.8
E07000170,,,Ashfield,119497,10956,10.9
E07000171,,,Bassetlaw,112863,63787,1.8
E07000172,,,Broxtowe,109487,8010,13.7
E07000173,,,Gedling,113543,11998,9.5
E07000174,,,Mansfield,104466,7672,13.6
E07000175,,,Newark and Sherwood,114817,65132,1.8
E07000176,,,Rushcliffe,111129,40924,2.7
,,,,,,
E12000005,WEST MIDLANDS,,,5601847,1299832,4.3
,,,,,,
E06000019,,"Herefordshire, County of UA","Herefordshire, County of UA",183477,217973,0.8
E06000051,,Shropshire UA,Shropshire UA,306129,319730,1
E06000021,,Stoke-on-Trent UA,Stoke-on-Trent UA,249008,9345,26.6
E06000020,,Telford and Wrekin UA,Telford and Wrekin UA,166641,29031,5.7
,,,,,,
E10000028,,Staffordshire ,,848489,262028,3.2
E07000192,,,Cannock Chase,97462,7888,12.4
E07000193,,,East Staffordshire,113583,38696,2.9
E07000194,,,Lichfield,100654,33130,3
E07000195,,,Newcastle-under-Lyme,123871,21096,5.9
E07000196,,,South Staffordshire,108131,40732,2.7
E07000197,,,Stafford,130869,59817,2.2
E07000198,,,Staffordshire Moorlands,97106,57585,1.7
E07000199,,,Tamworth,76813,3085,24.9
,,,,,,
E10000031,,Warwickshire,,545474,197508,2.8
E07000218,,,North Warwickshire,62014,28427,2.2
E07000219,,,Nuneaton and Bedworth,125252,7895,15.9
E07000220,,,Rugby,100075,35111,2.9
E07000221,,,Stratford-on-Avon,120485,97787,1.2
E07000222,,,Warwick,137648,28288,4.9
,,,,,,
E11000005,,West Midlands (Met County),,2736460,90164,30.3
E08000025,,,Birmingham,1073045,26779,40.1
E08000026,,,Coventry,316960,9864,32.1
E08000027,,,Dudley,312925,9796,31.9
E08000028,,,Sandwell,308063,8557,36
E08000029,,,Solihull,206674,17829,11.6
E08000030,,,Walsall,269323,10395,25.9
E08000031,,,Wolverhampton,249470,6944,35.9
,,,,,,
E10000034,,Worcestershire ,,566169,174052,3.3
E07000234,,,Bromsgrove,93637,21697,4.3
E07000235,,,Malvern Hills,74631,57707,1.3
E07000236,,,Redditch,84214,5425,15.5
E07000237,,,Worcester,98768,3328,29.7
E07000238,,,Wychavon,116944,66354,1.8
E07000239,,,Wyre Forest,97975,19541,5
,,,,,,
E12000006,EAST,,,5846965,1910838,3.1
,,,,,,
E06000055,,Bedford UA,Bedford UA,157479,47641,3.3
E06000056,,Central Bedfordshire UA,Central Bedfordshire UA,254381,71566,3.6
E06000032,,Luton UA,Luton UA,203201,4335,46.9
E06000031,,Peterborough UA,Peterborough UA,183631,34338,5.3
E06000033,,Southend-on-Sea UA,Southend-on-Sea UA,173658,4176,41.6
E06000034,,Thurrock UA,Thurrock UA,157705,16338,9.7
,,,,,,
E10000003,,Cambridgeshire ,,621210,304624,2
E07000008,,,Cambridge,123867,4070,30.4
E07000009,,,East Cambridgeshire,83818,65128,1.3
E07000010,,,Fenland,95262,54645,1.7
E07000011,,,Huntingdonshire,169508,90618,1.9
E07000012,,,South Cambridgeshire,148755,90163,1.6
,,,,,,
E10000012,,Essex ,,1393587,346439,4
E07000066,,,Basildon,174497,11002,15.9
E07000067,,,Braintree,147084,61171,2.4
E07000068,,,Brentwood,73601,15312,4.8
E07000069,,,Castle Point,88011,4507,19.5
E07000070,,,Chelmsford,168310,33878,5
E07000071,,,Colchester,173074,32908,5.3
E07000072,,,Epping Forest,124659,33899,3.7
E07000073,,,Harlow,81944,3054,26.8
E07000074,,,Maldon,61629,35877,1.7
E07000075,,,Rochford,83287,16950,4.9
E07000076,,,Tendring,138048,33764,4.1
E07000077,,,Uttlesford,79443,64118,1.2
,,,,,,
E10000015,,Hertfordshire,,1116062,164307,6.8
E07000095,,,Broxbourne,93609,5144,18.2
E07000096,,,Dacorum,144847,21248,6.8
E07000097,,,East Hertfordshire,137687,47569,2.9
E07000098,,,Hertsmere,100031,10116,9.9
E07000099,,,North Hertfordshire,127114,37538,3.4
E07000100,,,St Albans,140664,16118,8.7
E07000101,,,Stevenage,83957,2596,32.3
E07000102,,,Three Rivers,87317,8881,9.8
E07000103,,,Watford,90301,2142,42.1
E07000104,,,Welwyn Hatfield,110535,12955,8.5
,,,,,,
E10000020,,Norfolk,,857888,537056,1.6
E07000143,,,Breckland,130491,130512,1
E07000144,,,Broadland,124646,55240,2.3
E07000145,,,Great Yarmouth,97277,17419,5.6
E07000146,,,King's Lynn and West Norfolk,147451,142879,1
E07000147,,,North Norfolk,101499,96333,1.1
E07000148,,,Norwich,132512,3903,34
E07000149,,,South Norfolk,124012,90771,1.4
,,,,,,
E10000029,,Suffolk,,728163,380018,1.9
E07000200,,,Babergh,87740,59378,1.5
E07000201,,,Forest Heath,59748,37771,1.6
E07000202,,,Ipswich,133384,3941,33.8
E07000203,,,Mid Suffolk,96731,87107,1.1
E07000204,,,St Edmundsbury,111008,65696,1.7
E07000205,,,Suffolk Coastal,124298,89156,1.4
E07000206,,,Waveney,115254,36968,3.1
,,,,,,
E12000007,LONDON,,,8173941,157215,52
,,,,,,
E13000001,LONDON,Inner London,,3231901,31929,101.2
E09000007,LONDON,Inner London,Camden,220338,2180,101.1
E09000001,LONDON,Inner London,City of London,7375,290,25.5
E09000012,LONDON,Inner London,Hackney,246270,1906,129.2
E09000013,LONDON,Inner London,Hammersmith and Fulham,182493,1640,111.2
E09000014,LONDON,Inner London,Haringey,254926,2959,86.2
E09000019,LONDON,Inner London,Islington,206125,1486,138.7
E09000020,LONDON,Inner London,Kensington and Chelsea,158649,1213,130.8
E09000022,LONDON,Inner London,Lambeth,303086,2682,113
E09000023,LONDON,Inner London,Lewisham,275885,3515,78.5
E09000025,LONDON,Inner London,Newham,307984,3622,85
E09000028,LONDON,Inner London,Southwark,288283,2885,99.9
E09000030,LONDON,Inner London,Tower Hamlets,254096,1977,128.5
E09000032,LONDON,Inner London,Wandsworth,306995,3426,89.6
E09000033,LONDON,Inner London,Westminster,219396,2148,102.2
,,,,,,
E13000002,LONDON,Outer London,,4942040,125286,39.4
E09000002,LONDON,Outer London,Barking and Dagenham,185911,3609,51.5
E09000003,LONDON,Outer London,Barnet,356386,8674,41.1
E09000004,LONDON,Outer London,Bexley,231997,6056,38.3
E09000005,LONDON,Outer London,Brent,311215,4324,72
E09000006,LONDON,Outer London,Bromley,309392,15015,20.6
E09000008,LONDON,Outer London,Croydon,363378,8652,42
E09000009,LONDON,Outer London,Ealing,338449,5552,61
E09000010,LONDON,Outer London,Enfield,312466,8083,38.7
E09000011,LONDON,Outer London,Greenwich,254557,4734,53.8
E09000015,LONDON,Outer London,Harrow,239056,5047,47.4
E09000016,LONDON,Outer London,Havering,237232,11236,21.1
E09000017,LONDON,Outer London,Hillingdon,273936,11570,23.7
E09000018,LONDON,Outer London,Hounslow,253957,5599,45.4
E09000021,LONDON,Outer London,Kingston upon Thames,160060,3725,43
E09000024,LONDON,Outer London,Merton,199693,3761,53.1
E09000026,LONDON,Outer London,Redbridge,278970,5641,49.5
E09000027,LONDON,Outer London,Richmond upon Thames,186990,5742,32.6
E09000029,LONDON,Outer London,Sutton,190146,4385,43.4
E09000031,LONDON,Outer London,Waltham Forest,258249,3881,66.5
,,,,,,
E12000008,SOUTH EAST,,,8634750,1906965,4.5
,,,,,,
E06000036,,Bracknell Forest UA,Bracknell Forest UA,113205,10939,10.3
E06000043,,Brighton and Hove UA,Brighton and Hove UA,273369,8267,33.1
E06000046,,Isle of Wight UA,Isle of Wight UA,138265,38016,3.6
E06000035,,Medway UA,Medway UA,263925,19203,13.7
E06000042,,Milton Keynes UA,Milton Keynes UA,248821,30863,8.1
E06000044,,Portsmouth UA,Portsmouth UA,205056,4041,50.7
E06000038,,Reading UA,Reading UA,155698,4040,38.5
E06000039,,Slough UA,Slough UA,140205,3254,43.1
E06000045,,Southampton UA,Southampton UA,236882,4989,47.5
E06000037,,West Berkshire UA,West Berkshire UA,153822,70417,2.2
E06000040,,Windsor and Maidenhead UA,Windsor and Maidenhead UA,144560,19651,7.4
E06000041,,Wokingham UA,Wokingham UA,154380,17898,8.6
,,,,,,
E10000002,,Buckinghamshire ,,505283,156495,3.2
E07000004,,,Aylesbury Vale,174137,90275,1.9
E07000005,,,Chiltern,92635,19635,4.7
E07000006,,,South Bucks,66867,14128,4.7
E07000007,,,Wycombe,171644,32457,5.3
,,,,,,
E10000011,,East Sussex ,,526671,170855,3.1
E07000061,,,Eastbourne,99412,4416,22.5
E07000062,,,Hastings,90254,2972,30.4
E07000063,,,Lewes,97502,29207,3.3
E07000064,,,Rother,90588,50943,1.8
E07000065,,,Wealden,148915,83317,1.8
,,,,,,
E10000014,,Hampshire ,,1317788,367895,3.6
E07000084,,,Basingstoke and Deane,167799,63381,2.6
E07000085,,,East Hampshire,115608,51444,2.2
E07000086,,,Eastleigh,125199,7978,15.7
E07000087,,,Fareham,111581,7423,15
E07000088,,,Gosport,82622,2532,32.6
E07000089,,,Hart,91033,21527,4.2
E07000090,,,Havant,120684,5537,21.8
E07000091,,,New Forest,176462,75313,2.3
E07000092,,,Rushmoor,93807,3904,24
E07000093,,,Test Valley,116398,62758,1.9
E07000094,,,Winchester,116595,66097,1.8
,,,,,,
E10000016,,Kent ,,1463740,354353,4.1
E07000105,,,Ashford,117956,58062,2
E07000106,,,Canterbury,151145,30885,4.9
E07000107,,,Dartford,97365,7277,13.4
E07000108,,,Dover,111674,31485,3.5
E07000109,,,Gravesham,101720,9902,10.3
E07000110,,,Maidstone,155143,39333,3.9
E07000111,,,Sevenoaks,114893,36920,3.1
E07000112,,,Shepway,107969,35670,3
E07000113,,,Swale,135835,37339,3.6
E07000114,,,Thanet,134186,10334,13
E07000115,,,Tonbridge and Malling,120805,24014,5
E07000116,,,Tunbridge Wells,115049,33133,3.5
,,,,,,
E10000025,,Oxfordshire,,653798,260492,2.5
E07000177,,,Cherwell,141868,58877,2.4
