Name,Number of Conceptions,"Conception rate per 1,000 women in age group","Maternity rate per 1,000 women in age group","Abortion rate per 1,000 women in age group",Percentage of conceptions leading to abortion
ENGLAND AND WALES                   ,34633,35.5,17.8,17.7,49.9
ENGLAND                             ,32552,35.4,17.6,17.8,50.3
WALES                               ,2081,37.7,20.9,16.8,44.5
NORTH EAST                          ,2032,44.3,25.4,18.9,42.7
County Durham UA          ,384,43.2,25.2,18,41.7
Chester-le-Street                   ,32,33.9,,,
Derwentside                         ,74,48.1,28,20.2,41.9
Durham                              ,50,36,18,18,50
Easington                           ,93,52,31.9,20.1,38.7
Sedgefield                          ,71,44.6,29.5,15.1,33.8
Teesdale                            ,14,32.9,,,
Wear Valley                         ,50,41.4,23.2,18.2,44
Darlington UA                       ,66,37.2,18.6,18.6,50
Hartlepool UA                       ,100,55.5,33.8,21.6,39
Middlesbrough UA                    ,178,64.5,38.4,26.1,40.4
Northumberland UA,181,33.8,19.4,14.4,42.5
Alnwick                             ,12,21.4,,,
Berwick-upon-Tweed                  ,6,14.7,,,
Blyth Valley                        ,76,51.4,29.8,21.7,42.1
Castle Morpeth                      ,11,12.5,,,
Tynedale                            ,14,14,,,
Wansbeck                            ,62,59.8,37.6,22.2,37.1
Redcar and Cleveland UA             ,121,46.2,26.7,19.5,42.1
Stockton-on-Tees UA                 ,145,39.1,23.4,15.6,40
Tyne and Wear (Met county)          ,857,45.3,25.3,20,44.1
Gateshead                           ,166,49.7,31.7,18,36.1
Newcastle upon Tyne                 ,197,46.8,23.5,23.3,49.7
North Tyneside                      ,122,36,19.5,16.5,45.9
South Tyneside                      ,108,39.8,22.9,17,42.6
Sunderland                          ,264,50.1,27.7,22.4,44.7
NORTH WEST                          ,5129,40.7,20.6,20.1,49.3
Blackburn with Darwen UA            ,124,41.4,23.7,17.7,42.7
Blackpool UA                        ,130,50,27.7,22.3,44.6
Cheshire East UA       ,209,32.2,15.3,17,52.6
Congleton                           ,43,26,10.9,15.1,58.1
Crewe and Nantwich                  ,102,44.6,23.2,21.4,48
Macclesfield                        ,64,25.2,11,14.2,56.3
Cheshire West and Chester UA,207,35.6,17.7,17.9,50.2
Chester                             ,64,32.2,15.6,16.6,51.6
Ellesmere Port and Neston           ,59,39.9,18.3,21.7,54.2
Vale Royal                          ,84,35.8,19.2,16.6,46.4
Halton UA                           ,142,63.3,31.7,31.7,50
Warrington UA                       ,122,34,13.1,20.9,61.5
Cumbria                             ,281,31.1,18.1,13.1,42
Allerdale                           ,59,34.8,17.7,17.1,49.2
Barrow-in-Furness                   ,56,39.2,24.5,14.7,37.5
Carlisle                            ,68,38.2,25.3,12.9,33.8
Copeland                            ,43,35.8,,,
Eden                                ,16,17.9,,,
South Lakeland                      ,39,19.2,7.9,11.3,59
Greater Manchester (Met county)     ,2052,44,22.6,21.4,48.6
Bolton                              ,198,39.3,23.6,15.7,39.9
Bury                                ,145,41.1,19.3,21.8,53.1
Manchester                          ,398,57.2,29.8,27.5,48
Oldham                              ,183,42.1,20.7,21.4,50.8
Rochdale                            ,152,37.5,19,18.5,49.3
Salford                             ,223,57.9,31.7,26.2,45.3
Stockport                           ,168,33.2,14.4,18.8,56.5
Tameside                            ,197,48.3,24.5,23.8,49.2
Trafford                            ,112,28.7,13.6,15.1,52.7
Wigan                               ,276,47.4,25.1,22.3,47.1
Lancashire                          ,820,37.5,19.2,18.3,48.8
Burnley                             ,98,59.2,31.4,27.8,46.9
Chorley                             ,67,35.2,14.2,21,59.7
Fylde                               ,37,29.2,20.5,8.7,29.7
Hyndburn                            ,73,43.2,26,17.2,39.7
Lancaster                           ,88,33.2,16.6,16.6,50
Pendle                              ,83,47.2,20.5,26.7,56.6
Preston                             ,92,41.1,22.8,18.3,44.6
Ribble Valley                       ,20,16.7,4.2,12.5,75
Rossendale                          ,63,43.7,26.4,17.3,39.7
South Ribble                        ,74,37.8,17.4,20.4,54.1
West Lancashire                     ,64,31.6,14.3,17.3,54.7
Wyre                                ,61,29.7,16.6,13.2,44.3
Merseyside (Met county)             ,1042,42.1,20.2,21.9,52
Knowsley                            ,122,39.1,15.7,23.4,59.8
Liverpool                           ,309,44.5,19.6,24.9,56
Sefton                              ,155,29.1,13.7,15.4,52.9
St Helens                           ,180,51.2,29,22.2,43.3
Wirral                              ,276,47.3,24,23.3,49.3
Former county of Cheshire,416,33.8,16.4,17.4,51.4
YORKSHIRE AND THE HUMBER,3823,40.5,22.2,18.4,45.3
East Riding of Yorkshire UA         ,175,29.4,15.1,14.3,48.6
"Kingston upon Hull, City of UA      ",261,55.2,33.8,21.4,38.7
North East Lincolnshire UA          ,183,60,35.4,24.6,41
North Lincolnshire UA               ,140,47.4,30.1,17.3,36.4
York UA                             ,80,26.3,12.5,13.8,52.5
North Yorkshire                     ,228,20.6,10.6,10,48.7
Craven                              ,26,25.3,9.7,15.6,61.5
Hambleton                           ,28,18.5,9.2,9.2,50
Harrogate                           ,51,16.3,6.7,9.6,58.8
Richmondshire                       ,16,19.2,,,
Ryedale                             ,16,15.2,,,
Scarborough                         ,63,36.3,24.8,11.5,31.7
Selby                               ,28,15.8,7.9,7.9,50
South Yorkshire (Met county)        ,1132,48.4,27.4,21,43.5
Barnsley                            ,236,55.2,35.5,19.6,35.6
Doncaster                           ,310,57.1,32.1,25.1,43.9
Rotherham                           ,218,45.4,27.7,17.7,39
Sheffield                           ,368,41.4,20.4,21,50.8
West Yorkshire (Met county)         ,1624,40.5,21.2,19.3,47.7
Bradford                            ,360,35.3,21.1,14.2,40.3
Calderdale                          ,155,41.6,18.2,23.3,56.1
Kirklees                            ,314,42.7,21.5,21.2,49.7
Leeds                               ,555,43.5,21.7,21.9,50.3
Wakefield                           ,240,39.4,21.7,17.7,45
EAST MIDLANDS                       ,2762,34.5,19.7,14.8,42.9
Derby UA                            ,185,43.3,27.6,15.7,36.2
Leicester UA                        ,232,44.4,,,
Nottingham UA                       ,245,54.4,31.7,22.6,41.6
Rutland UA                          ,7,6.2,,,
Derbyshire                          ,441,31.4,17,14.5,46
Amber Valley                        ,71,31.8,18.4,13.4,42.3
