Code,Code,Code,,,Local authority,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011R,2012P,2013P,,,
E92000001,64,,ENGLAND,,,3.54,3.67,3.86,4.21,4.47,5.07,5.83,6.58,6.81,6.97,7.23,6.93,6.27,7.01,6.69,6.86,6.72,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
E06000005,00EH,2,,Darlington UA,Darlington UA,3.05,3.32,2.93,3.21,3.36,3.13,4.06,5,5.89,5.82,5.33,5.44,5.09,5.44,5.21,4.97,5.64,,,
E06000047,00EJ,3,,Durham UA,Durham UA,2.82,2.68,2.84,2.86,2.78,2.9,3.3,4.35,4.69,5.55,5.16,5.19,4.73,4.9,4.51,4.39,4.38,,,
E06000001,00EB,4,,Hartlepool UA,Hartlepool UA,2.59,2.72,2.85,3.16,2.61,2.92,3.04,2.76,3.01,4.21,4.9,5.45,3.87,5.11,4.39,4.25,4.5,,,
E06000002,00EC,5,,Middlesbrough UA,Middlesbrough UA,2.83,2.74,2.84,2.69,2.53,2.61,2.15,3.39,4.07,4.8,5.02,4.62,4.7,4.37,4.47,4.38,4.12,,, 
E06000057,00EM,6,,Northumberland UA,Northumberland UA,3.65,3.6,3.83,3.71,3.87,3.84,4.48,5.92,6.24,6.39,6.78,6.82,5.98,6.41,6.39,6.05,5.81,,,
E06000003,00EE,7,,Redcar and Cleveland UA,Redcar and Cleveland UA,2.33,2.51,2.35,2.28,2.45,2.84,3.45,3.44,4.36,4.89,4.81,4.52,4.49,4.59,4.31,4.88,4.54,,,
E06000004,00EF,8,,Stockton-on-Tees UA,Stockton-on-Tees UA,2.97,2.93,2.93,3.03,3.05,3.54,4.35,4.91,5.24,5.65,6.16,5.75,5.06,5.4,5.07,5.28,5.31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
E11000004,2D,1,,Tyne and Wear (Met County),,2.97,3.06,2.97,2.92,3.02,3.33,4.1,4.94,5.28,5.73,5.97,5.49,5.22,5.2,4.99,5.12,4.96,,,
E08000037,00CH,226,,,Gateshead,2.78,2.82,2.66,2.52,2.87,3.4,4.01,4.57,4.69,5.56,5.82,5.43,5.38,5.1,4.69,4.67,4.96,,,
E08000021,00CJ,227,,,Newcastle upon Tyne,3.11,3.35,3.28,3.22,3.35,3.99,4.73,6.24,6.05,6.57,6.58,6.03,5.5,5.41,5.44,5.39,5.22,,,
E08000022,00CK,228,,,North Tyneside,3.33,3.43,3.34,3.34,3.39,3.17,4.27,5.38,6.1,6.14,6.7,6.08,5.61,5.73,5.33,5.73,5.37,,,
E08000023,00CL,229,,,South Tyneside,2.98,2.66,2.81,2.65,2.48,2.88,3.47,4.28,4.67,4.98,5.85,5.26,4.97,5.27,4.9,4.95,4.56,,,
E08000024,00CM,230,,,Sunderland,2.93,2.83,2.73,2.79,2.66,3.1,3.6,4.48,4.62,5.03,5.25,5.1,4.95,4.62,4.68,4.77,4.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
E06000008,00EX,14,,Blackburn with Darwen UA,Blackburn with Darwen UA,2.25,2.22,2.46,2.38,2.17,2.24,2.37,3.15,3.9,4.23,4.27,4.39,4.15,4.1,3.84,4.13,3.96,,,
E06000009,00EY,15,,Blackpool UA,Blackpool UA,3.04,3.13,3.07,3.13,3.13,3.31,3.86,4.93,5.49,6.24,6.24,6.28,5.05,5.13,4.75,4.58,4.58,,,
E06000049,00EQ,601,,Cheshire East UA,Cheshire East UA,..,..,..,..,..,..,..,..,..,..,..,..,6.68,7.32,6.9,6.79,6.85,,,
E06000050,00EW,602,,Cheshire West and Chester UA,Cheshire West and Chester UA,..,..,..,..,..,..,..,..,..,..,..,..,6.13,6.59,6.46,6.53,6.4,,,
E06000006,00ET,10,,Halton UA,Halton UA,2.92,2.65,2.57,2.9,3.07,2.86,3.7,4.13,4.87,4.79,5.07,4.73,4.6,4.77,4.4,4.4,4.57,,,
E06000007,00EU,11,,Warrington UA,Warrington UA,3.31,3.44,3.5,3.69,3.67,4.48,4.86,5.96,6.19,6.92,5.98,5.54,5.56,5.64,5.19,5.91,5.77,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
E10000006,16,13,,Cumbria,,3.04,3.21,3.29,3.31,3.35,3.64,4.28,5.06,5.45,5.92,6.04,5.84,5.44,5.48,5.72,5.5,4.98,,,
E07000026,16UB,289,,,Allerdale,3.17,3.21,3.28,3.36,3.29,3.42,4.05,5.28,5.79,5.78,6.77,6.07,6.14,6,6.52,6.75,5.94,,,
E07000027,16UC,290,,,Barrow-in-Furness,2.02,2.11,1.83,2.11,1.78,2.19,2.44,2.74,3.45,3.69,3.86,4.11,3.68,3.88,3.56,3.21,3.04,,,
