Area code,Area,All categories: Ethnic group,White british,White irish,White: Gypsy or Irish Traveller,White other,Mixed white and black Caribbean,Mixed white and black African,Mixed white and asian,Mixed other,Asian/Asian British: indian,Asian/Asian British: Pakistani,Asian/Asian British: bangladeshi,Chinese,Asian/Asian British: other,Black/Black British: African,Black/black British: Caribbean,Black/black British: other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,Other ethnic group
K04000001,ENGLAND AND WALES,56075912,80.5,0.9,0.1,4.4,0.8,0.3,0.6,0.5,2.5,2,0.8,0.7,1.5,1.8,1.1,0.5,0.4,0.6,1.1
,,,,,,,,,,,,,,,,,,,,,0
E92000001,ENGLAND,53012456,79.8,1,0.1,4.6,0.8,0.3,0.6,0.5,2.6,2.1,0.8,0.7,1.5,1.8,1.1,0.5,0.4,0.6,1.1
,,,,,,,,,,,,,,,,,,,,,0
E12000001,NORTH EAST,2596886,93.6,0.3,0.1,1.3,0.2,0.1,0.3,0.2,0.6,0.8,0.4,0.6,0.5,0.4,0,0,0.2,0.2,0.5
,,,,,,,,,,,,,,,,,,,,,0
E06000047,County Durham UA,513242,96.6,0.2,0.1,1.2,0.2,0.1,0.2,0.1,0.3,0.1,0,0.3,0.2,0.1,0,0,0.1,0.1,0.3
E06000005,Darlington UA,105564,93.7,0.3,0.3,1.9,0.4,0.1,0.3,0.2,0.7,0.1,0.5,0.3,0.4,0.2,0.1,0,0.1,0.1,0.5
E06000001,Hartlepool UA,92028,96.6,0.2,0,0.8,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.1,0,0,0.1,0.1,0.2
E06000002,Middlesbrough UA,138412,86.1,0.4,0.1,1.7,0.4,0.3,0.7,0.3,1.1,4.9,0.2,0.7,1,1.1,0.1,0.1,0.7,0.4,1.2
E06000048,Northumberland UA,316028,97.2,0.3,0,0.9,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1
E06000003,Redcar and Cleveland UA,135177,97.6,0.3,0.1,0.6,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0,0,0,0.1,0.2
E06000004,Stockton-on-Tees UA,191610,93.4,0.3,0.1,0.9,0.2,0.2,0.4,0.2,0.8,1.6,0.1,0.5,0.6,0.5,0,0.1,0.1,0.2,0.4
,,,,,,,,,,,,,,,,,,,,,0
E11000004,Tyne and Wear (Met County),1104825,91.5,0.4,0,1.6,0.2,0.2,0.3,0.2,0.9,0.8,0.8,0.9,0.8,0.7,0.1,0.1,0.4,0.3,0.7
E08000020,Gateshead,200214,94.1,0.3,0,1.9,0.2,0.1,0.3,0.2,0.5,0.3,0.1,0.5,0.5,0.5,0,0,0.1,0.4,0.5
E08000021,Newcastle upon Tyne,280177,81.9,0.7,0.1,2.9,0.3,0.3,0.6,0.4,1.8,2.3,1.7,2.2,1.8,1.7,0.1,0.1,0.9,0.5,1.5
E08000022,North Tyneside,200801,95.1,0.3,0,1.2,0.2,0.2,0.3,0.2,0.5,0.2,0.3,0.4,0.4,0.3,0,0,0.1,0.1,0.2
E08000023,South Tyneside,148127,95.1,0.2,0,0.7,0.2,0.2,0.3,0.2,0.4,0.3,1,0.2,0.3,0.2,0,0,0.4,0.3,0.7
E08000024,Sunderland,275506,94.8,0.2,0,0.9,0.2,0.1,0.2,0.1,0.6,0.2,0.8,0.6,0.5,0.4,0,0,0.1,0.2,0.3
