LAD12CD,LAD12CDO,LAD12NM,PCO12CD,PCO12CDO,PCO12NM
E09000001,00AA,City of London,E16000010,5C3,City and Hackney Teaching
E09000002,00AB,Barking and Dagenham,E16000009,5C2,Barking and Dagenham
E09000003,00AC,Barnet,E16000006,5A9,Barnet
E09000004,00AD,Bexley,E17000002,TAK,Bexley
E09000005,00AE,Brent,E16000045,5K5,Brent Teaching
E09000006,00AF,Bromley,E16000004,5A7,Bromley
E09000007,00AG,Camden,E16000047,5K7,Camden
E09000008,00AH,Croydon,E16000049,5K9,Croydon
E09000009,00AJ,Ealing,E16000035,5HX,Ealing
E09000010,00AK,Enfield,E16000008,5C1,Enfield
E09000011,00AL,Greenwich,E16000005,5A8,Greenwich Teaching
E09000012,00AM,Hackney,E16000010,5C3,City and Hackney Teaching
E09000013,00AN,Hammersmith and Fulham,E16000030,5H1,Hammersmith and Fulham
E09000014,00AP,Haringey,E16000013,5C9,Haringey Teaching
E09000015,00AQ,Harrow,E16000046,5K6,Harrow
E09000016,00AR,Havering,E16000002,5A4,Havering
E09000017,00AS,Hillingdon,E16000007,5AT,Hillingdon
E09000018,00AT,Hounslow,E16000036,5HY,Hounslow
E09000019,00AU,Islington,E16000048,5K8,Islington
E09000020,00AW,Kensington and Chelsea,E16000056,5LA,Kensington and Chelsea
E09000021,00AX,Kingston upon Thames,E16000003,5A5,Kingston
E09000022,00AY,Lambeth,E16000058,5LD,Lambeth
E09000023,00AZ,Lewisham,E16000060,5LF,Lewisham
E09000024,00BA,Merton,E16000068,5M7,Sutton and Merton
E09000025,00BB,Newham,E16000012,5C5,Newham
E09000026,00BC,Redbridge,E16000083,5NA,Redbridge
E09000027,00BD,Richmond upon Thames,E16000067,5M6,Richmond and Twickenham
E09000028,00BE,Southwark,E16000059,5LE,Southwark
E09000029,00BF,Sutton,E16000068,5M7,Sutton and Merton
E09000030,00BG,Tower Hamlets,E16000011,5C4,Tower Hamlets
E09000031,00BH,Waltham Forest,E16000084,5NC,Waltham Forest
E09000032,00BJ,Wandsworth,E16000061,5LG,Wandsworth
E09000033,00BK,Westminster,E16000057,5LC,Westminster
E08000001,00BL,Bolton,E16000148,5HQ,Bolton Teaching
E08000002,00BM,Bury,E16000043,5JX,Bury
E08000003,00BN,Manchester,E16000149,5NT,Manchester Teaching
E08000004,00BP,Oldham,E16000039,5J5,Oldham
E08000005,00BQ,Rochdale,E16000096,5NQ,"Heywood, Middleton and Rochdale"
E08000006,00BR,Salford,E16000025,5F5,Salford
