"","la_name","gor","metcounty_UA","la_code","region_code"
"1","Adur","SOUTH EAST","West Sussex","E07000223","E12000008"
"2","Allerdale","NORTH WEST ","Cumbria","E07000026","E12000002"
"3","Amber Valley","EAST MIDLANDS","Derbyshire","E07000032","E12000004"
"4","Arun","SOUTH EAST","West Sussex","E07000224","E12000008"
"5","Ashfield","EAST MIDLANDS","Nottinghamshire","E07000170","E12000004"
"6","Ashford","SOUTH EAST","Kent","E07000105","E12000008"
"7","Aylesbury Vale","SOUTH EAST","Buckinghamshire","E07000004","E12000008"
"8","Babergh","EAST","Suffolk","E07000200","E12000006"
"9","Barking and Dagenham","LONDON","Outer London","E09000002","E12000007"
"10","Barnet","LONDON","Outer London","E09000003","E12000007"
"11","Barnsley","YORKSHIRE AND THE HUMBER","South Yorkshire (Met County)","E08000016","E12000003"
"12","Barrow-in-Furness","NORTH WEST ","Cumbria","E07000027","E12000002"
"13","Basildon","EAST","Essex","E07000066","E12000006"
"14","Basingstoke and Deane","SOUTH EAST","Hampshire","E07000084","E12000008"
"15","Bassetlaw","EAST MIDLANDS","Nottinghamshire","E07000171","E12000004"
"16","Bath and North East Somerset","SOUTH WEST","Bath and North East Somerset","E06000022","E12000009"
"17","Bedford","EAST","Bedford","E06000055","E12000006"
"18","Bexley","LONDON","Outer London","E09000004","E12000007"
"19","Birmingham","WEST MIDLANDS","West Midlands (Met County)","E08000025","E12000005"
"20","Blaby","EAST MIDLANDS","Leicestershire","E07000129","E12000004"
"21","Blackburn with Darwen","NORTH WEST ","Blackburn with Darwen","E06000008","E12000002"
"22","Blackpool","NORTH WEST ","Blackpool","E06000009","E12000002"
"23","Blaenau Gwent",NA,NA,"W06000019","W92000004"
"24","Bolsover","EAST MIDLANDS","Derbyshire","E07000033","E12000004"
"25","Bolton","NORTH WEST ","Greater Manchester (Met County)","E08000001","E12000002"
"26","Boston","EAST MIDLANDS","Lincolnshire","E07000136","E12000004"
"27","Bournemouth","SOUTH WEST","Bournemouth","E06000028","E12000009"
"28","Bracknell Forest","SOUTH EAST","Bracknell Forest","E06000036","E12000008"
"29","Bradford","YORKSHIRE AND THE HUMBER","West Yorkshire (Met County)","E08000032","E12000003"
"30","Braintree","EAST","Essex","E07000067","E12000006"
"31","Breckland","EAST","Norfolk","E07000143","E12000006"
"32","Brent","LONDON","Outer London","E09000005","E12000007"
"33","Brentwood","EAST","Essex","E07000068","E12000006"
"34","Bridgend",NA,NA,"W06000013","W92000004"
"35","Brighton and Hove","SOUTH EAST","Brighton and Hove","E06000043","E12000008"
"36","BRISTOL, CITY OF","SOUTH WEST","BRISTOL, CITY OF","E06000023","E12000009"
"37","Broadland","EAST","Norfolk","E07000144","E12000006"
"38","Bromley","LONDON","Outer London","E09000006","E12000007"
"39","Bromsgrove","WEST MIDLANDS","Worcestershire","E07000234","E12000005"
"40","Broxbourne","EAST","Hertfordshire","E07000095","E12000006"
"41","Broxtowe","EAST MIDLANDS","Nottinghamshire","E07000172","E12000004"
"42","Burnley","NORTH WEST ","Lancashire","E07000117","E12000002"
"43","Bury","NORTH WEST ","Greater Manchester (Met County)","E08000002","E12000002"
"44","Caerphilly",NA,NA,"W06000018","W92000004"
"45","Calderdale","YORKSHIRE AND THE HUMBER","West Yorkshire (Met County)","E08000033","E12000003"
"46","Cambridge","EAST","Cambridgeshire","E07000008","E12000006"
"47","Camden","LONDON","Inner London","E09000007","E12000007"
"48","Cannock Chase","WEST MIDLANDS","Staffordshire","E07000192","E12000005"
"49","Canterbury","SOUTH EAST","Kent","E07000106","E12000008"
"50","Cardiff",NA,NA,"W06000015","W92000004"
"51","Carlisle","NORTH WEST ","Cumbria","E07000028","E12000002"
"52","Carmarthenshire",NA,NA,"W06000010","W92000004"
"53","Castle Point","EAST","Essex","E07000069","E12000006"
"54","Central Bedfordshire","EAST","Central Bedfordshire","E06000056","E12000006"
"55","Ceredigion",NA,NA,"W06000008","W92000004"
"56","Charnwood","EAST MIDLANDS","Leicestershire","E07000130","E12000004"
"57","Chelmsford","EAST","Essex","E07000070","E12000006"
"58","Cheltenham","SOUTH WEST","Gloucestershire","E07000078","E12000009"
"59","Cherwell","SOUTH EAST","Oxfordshire","E07000177","E12000008"
"60","Cheshire East","NORTH WEST ","Cheshire East","E06000049","E12000002"
"61","Cheshire West and Chester","NORTH WEST ","Cheshire West and Chester","E06000050","E12000002"
"62","Chesterfield","EAST MIDLANDS","Derbyshire","E07000034","E12000004"
"63","Chichester","SOUTH EAST","West Sussex","E07000225","E12000008"
"64","Chiltern","SOUTH EAST","Buckinghamshire","E07000005","E12000008"
"65","Chorley","NORTH WEST ","Lancashire","E07000118","E12000002"
"66","Christchurch","SOUTH WEST","Dorset","E07000048","E12000009"
"67","City of London","LONDON","Inner London","E09000001","E12000007"
"68","Colchester","EAST","Essex","E07000071","E12000006"
"69","Conwy",NA,NA,"W06000003","W92000004"
"70","Copeland","NORTH WEST ","Cumbria","E07000029","E12000002"
"71","Corby","EAST MIDLANDS","Northamptonshire","E07000150","E12000004"
"72","Cornwall","SOUTH WEST","Cornwall","E06000052","E12000009"
"73","Cotswold","SOUTH WEST","Gloucestershire","E07000079","E12000009"
