display(log)
check(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/model.txt)
model is syntactically correct
data(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(250)
update(1)
set(alpha)
set(b.male)
set(b.student)
set(b.IMD)
set(tau.age)
set(tau.ethngrp)
set(tau.ons)
set(tau.conception)
set(tau.gor)
set(tau.la)
set(tau.met)
set(v)
set(w)
set(u)
set(d)
set(h)
set(r)
set(g)
set(deviance)
dic.set()
update(400)
coda(*,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	alpha	-0.6366	0.3728	0.01346	-1.405	-0.6252	0.09615	2	1200
	b.IMD	-0.184	0.1065	0.003269	-0.3944	-0.1854	0.03044	2	1200
	b.male	-0.5957	0.07745	0.002146	-0.7458	-0.5981	-0.4426	2	1200
	b.student	-0.2638	0.09437	0.002706	-0.4507	-0.2602	-0.07243	2	1200
	d[1]	-0.05377	0.08962	0.002253	-0.2705	-0.04112	0.09364	2	1200
	d[2]	0.02924	0.08736	0.00217	-0.1193	0.02122	0.2337	2	1200
	d[3]	-0.03473	0.08169	0.002311	-0.2234	-0.0266	0.1079	2	1200
	d[4]	-0.06481	0.0916	0.002304	-0.2883	-0.05078	0.0815	2	1200
	d[5]	0.05014	0.08263	0.00218	-0.08709	0.03704	0.2545	2	1200
	d[6]	0.04174	0.07743	0.002093	-0.09335	0.03314	0.2166	2	1200
	d[7]	0.008341	0.07405	0.002227	-0.1363	0.007847	0.1618	2	1200
	d[8]	0.04085	0.07551	0.002236	-0.08187	0.03107	0.2276	2	1200
	d[9]	0.03483	0.07522	0.002396	-0.09378	0.02299	0.2054	2	1200
	d[10]	-0.04989	0.0795	0.002552	-0.2391	-0.0371	0.07096	2	1200
	deviance	4088.0	12.12	0.4099	4062.0	4089.0	4110.0	2	1200
	g[1]	-0.00356	0.08103	0.002277	-0.1703	-8.867E-5	0.1526	2	1200
	g[2]	0.01055	0.08185	0.002185	-0.1534	0.0085	0.2045	2	1200
	g[3]	0.001915	0.08213	0.002663	-0.1568	0.001245	0.1827	2	1200
	g[4]	-0.00512	0.08053	0.002376	-0.1768	-0.004784	0.1685	2	1200
	g[5]	0.002206	0.07963	0.002478	-0.1597	0.001846	0.1726	2	1200
	g[6]	0.004302	0.08127	0.002483	-0.1463	0.002169	0.1852	2	1200
	g[7]	-0.005229	0.08355	0.002508	-0.1844	-0.004815	0.175	2	1200
	g[8]	0.01125	0.08152	0.002259	-0.1378	0.004947	0.1976	2	1200
	g[9]	-0.03389	0.08273	0.00227	-0.2521	-0.0199	0.1094	2	1200
	g[10]	0.00887	0.07667	0.002347	-0.1369	0.006647	0.1849	2	1200
	g[11]	0.02112	0.08205	0.002307	-0.1341	0.01273	0.218	2	1200
	g[12]	0.015	0.07862	0.002223	-0.1243	0.007992	0.2157	2	1200
	g[13]	4.851E-4	0.07894	0.002475	-0.1609	0.001257	0.1611	2	1200
	g[14]	0.002587	0.07448	0.002128	-0.1545	0.002719	0.1628	2	1200
	g[15]	-0.003408	0.07656	0.002302	-0.168	-5.712E-4	0.1583	2	1200
	g[16]	-0.008118	0.076	0.002112	-0.1703	-0.003546	0.1414	2	1200
	g[17]	-3.807E-4	0.07868	0.002151	-0.1645	-0.001373	0.164	2	1200
	g[18]	9.968E-4	0.07942	0.002258	-0.1578	1.843E-4	0.1654	2	1200
	g[19]	-0.003088	0.07237	0.00211	-0.1521	-0.001172	0.1519	2	1200
	g[20]	-0.01552	0.08058	0.002432	-0.1931	-0.008224	0.1387	2	1200
	g[21]	0.006016	0.07803	0.002243	-0.1581	0.004227	0.1741	2	1200
	g[22]	0.00399	0.07871	0.001985	-0.1591	0.003478	0.1592	2	1200
	g[23]	0.002845	0.07481	0.002064	-0.1484	-2.066E-4	0.1513	2	1200
	g[24]	0.02677	0.07877	0.002187	-0.1151	0.01797	0.2172	2	1200
	g[25]	0.002787	0.07559	0.002023	-0.1535	0.002684	0.1571	2	1200
	g[26]	-0.008204	0.07184	0.002125	-0.1707	-0.005473	0.1374	2	1200
	g[27]	0.00615	0.07952	0.002265	-0.1564	0.004683	0.1889	2	1200
	g[28]	-0.01774	0.07669	0.002182	-0.2056	-0.00956	0.1199	2	1200
	g[29]	3.147E-4	0.07893	0.002421	-0.1581	0.001139	0.1654	2	1200
	g[30]	0.003108	0.07652	0.002366	-0.1483	0.001519	0.1859	2	1200
	g[31]	0.002739	0.07454	0.002017	-0.1516	0.003495	0.1584	2	1200
	g[32]	-0.01916	0.07229	0.002151	-0.1775	-0.0147	0.1233	2	1200
	g[33]	0.01158	0.08304	0.002426	-0.1582	0.00639	0.1955	2	1200
	g[34]	0.01066	0.06894	0.001833	-0.1239	0.007916	0.1596	2	1200
	g[35]	-0.0015	0.07937	0.002254	-0.1611	-0.001657	0.1641	2	1200
	g[36]	-0.01995	0.07767	0.002342	-0.2059	-0.01266	0.1296	2	1200
	g[37]	0.0142	0.07862	0.002412	-0.1331	0.008083	0.1967	2	1200
	g[38]	-0.02863	0.0776	0.002157	-0.2176	-0.01766	0.1021	2	1200
	g[39]	5.385E-4	0.07527	0.002316	-0.1565	0.002194	0.1616	2	1200
	g[40]	0.01697	0.08192	0.002155	-0.1324	0.01045	0.2056	2	1200
	g[41]	0.03138	0.08458	0.002361	-0.1096	0.02044	0.2318	2	1200
	g[42]	-0.006798	0.07214	0.002148	-0.1701	-0.00381	0.1317	2	1200
	g[43]	-7.131E-5	0.07799	0.002114	-0.1535	9.731E-4	0.1682	2	1200
	g[44]	0.01065	0.08208	0.00256	-0.1377	0.006046	0.1887	2	1200
	g[45]	-0.00199	0.07631	0.002442	-0.163	0.002048	0.1636	2	1200
	g[46]	-0.003224	0.08237	0.002063	-0.17	-0.001283	0.1674	2	1200
	g[47]	0.007994	0.08265	0.002369	-0.1601	0.004915	0.1932	2	1200
