display(log)
check(C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/model.txt)
model is syntactically correct
data(C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(100)
update(2)
set(alpha)
set(b.male)
set(b.student)
set(tau.age)
set(tau.ethngrp)
set(tau.la)
set(v)
set(w)
set(r)
set(deviance)
dic.set()
update(498)
coda(*,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	alpha	-1.416	0.5952	0.0495	-1.986	-1.629	0.2077	3	1494
	b.male	-0.6986	0.0709	0.001658	-0.8322	-0.698	-0.5613	3	1494
	b.student	-0.3576	0.1125	0.00313	-0.577	-0.3576	-0.1371	3	1494
	deviance	5536.0	26.77	0.7068	5485.0	5535.0	5589.0	3	1494
	r[1]	-0.003483	0.5682	0.01596	-1.095	-0.009446	1.13	3	1494
	r[2]	-0.1938	0.5525	0.01272	-1.253	-0.2104	0.8896	3	1494
	r[3]	-0.1552	0.5735	0.01301	-1.3	-0.1467	0.9736	3	1494
	r[4]	-0.5191	0.5299	0.01501	-1.64	-0.5015	0.4857	3	1494
	r[5]	-0.6859	0.5123	0.01169	-1.704	-0.67	0.3106	3	1494
	r[6]	0.1626	0.5057	0.01037	-0.8574	0.1767	1.145	3	1494
	r[7]	0.113	0.4388	0.01201	-0.7702	0.1312	0.9479	3	1494
	r[8]	0.4935	0.3843	0.01179	-0.2961	0.4924	1.247	3	1494
	r[9]	-0.7411	0.5154	0.01333	-1.732	-0.7241	0.2568	3	1494
	r[10]	0.2033	0.3188	0.008059	-0.4555	0.2009	0.8035	3	1494
	r[11]	-0.1375	0.4693	0.01368	-1.073	-0.1424	0.7776	3	1494
	r[12]	-0.05249	0.5633	0.01514	-1.18	-0.05197	1.081	3	1494
	r[13]	-0.04551	0.4535	0.01306	-0.8906	-0.03349	0.8499	3	1494
	r[14]	0.6002	0.4312	0.01183	-0.2508	0.5895	1.452	3	1494
	r[15]	-0.09499	0.4632	0.01193	-1.073	-0.09242	0.8075	3	1494
	r[16]	-0.4893	0.5393	0.01315	-1.601	-0.4704	0.5257	3	1494
	r[17]	0.3589	0.4963	0.01335	-0.6181	0.3669	1.325	3	1494
	r[18]	-0.384	0.5176	0.01327	-1.474	-0.3885	0.621	3	1494
	r[19]	0.01	0.2525	0.007403	-0.482	0.00864	0.5265	3	1494
	r[20]	0.2843	0.5454	0.01407	-0.8815	0.2972	1.335	3	1494
	r[21]	-0.1412	0.6029	0.01629	-1.352	-0.1189	1.055	3	1494
	r[22]	-0.4366	0.4977	0.01355	-1.424	-0.4331	0.5261	3	1494
	r[23]	-0.08238	0.6046	0.01439	-1.245	-0.06866	1.078	3	1494
	r[24]	-0.4559	0.4691	0.01388	-1.381	-0.45	0.4114	3	1494
	r[25]	-0.01752	0.6146	0.01572	-1.242	-0.02364	1.129	3	1494
	r[26]	-0.1478	0.4032	0.01015	-0.9523	-0.1404	0.593	3	1494
	r[27]	-0.2136	0.5819	0.01542	-1.383	-0.2077	0.8969	3	1494
	r[28]	0.008125	0.2713	0.006637	-0.548	0.01428	0.5205	3	1494
	r[29]	0.9648	0.4492	0.01085	0.07277	0.9633	1.868	3	1494
	r[30]	0.4309	0.4575	0.01112	-0.4938	0.4276	1.319	3	1494
	r[31]	0.5687	0.3771	0.009326	-0.1842	0.5725	1.306	3	1494
	r[32]	-0.03215	0.493	0.01336	-0.9932	-0.04323	0.9609	3	1494
	r[33]	-0.6036	0.45	0.01248	-1.52	-0.5845	0.2352	3	1494
	r[34]	0.6342	0.3438	0.009972	-0.05711	0.6448	1.27	3	1494
	r[35]	0.05073	0.4628	0.01402	-0.856	0.04775	0.9611	3	1494
	r[36]	-0.07244	0.4942	0.01239	-1.009	-0.07516	0.8658	3	1494
	r[37]	-0.3565	0.5046	0.01199	-1.476	-0.3272	0.5887	3	1494
	r[38]	0.003833	0.4451	0.01053	-0.9086	-4.634E-4	0.882	3	1494
	r[39]	0.3566	0.5434	0.01318	-0.7006	0.3508	1.406	3	1494
	r[40]	0.287	0.4581	0.01262	-0.6106	0.2854	1.197	3	1494
	r[41]	-0.6249	0.4483	0.01144	-1.577	-0.6074	0.1902	3	1494
	r[42]	-0.4137	0.4487	0.01131	-1.312	-0.4114	0.4352	3	1494
	r[43]	-0.1637	0.4401	0.0101	-1.031	-0.1449	0.6769	3	1494
	r[44]	0.4026	0.3862	0.0102	-0.3744	0.4168	1.132	3	1494
	r[45]	-0.0948	0.5945	0.01671	-1.248	-0.1076	1.1	3	1494
	r[46]	0.04287	0.3819	0.009526	-0.7648	0.04104	0.7664	3	1494
	r[47]	-0.05142	0.4593	0.01105	-0.9746	-0.04132	0.8518	3	1494
	r[48]	0.1212	0.481	0.0129	-0.8344	0.1348	1.054	3	1494
	r[49]	0.2875	0.3272	0.00792	-0.3757	0.2961	0.9398	3	1494
	r[50]	-0.06244	0.4134	0.01081	-0.9055	-0.0634	0.7154	3	1494
	r[51]	-0.8059	0.458	0.01068	-1.746	-0.7636	0.01501	3	1494
